Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-09-29,Cincinnati Bengals,Carolina Panthers,1,0:05,Cincinnati Bengals,Chase Brown 3 yard rush (Evan McPherson kick),7,0
2024-09-29,Cincinnati Bengals,Carolina Panthers,2,9:31,Carolina Panthers,Chuba Hubbard 3 yard rush (Eddy Piñeiro kick),7,7
2024-09-29,Cincinnati Bengals,Carolina Panthers,2,7:14,Cincinnati Bengals,Ja'Marr Chase 63 yard pass from Joe Burrow (Evan McPherson kick),14,7
2024-09-29,Cincinnati Bengals,Carolina Panthers,2,1:08,Carolina Panthers,Xavier Legette 8 yard pass from Andy Dalton (Eddy Piñeiro kick),14,14
2024-09-29,Cincinnati Bengals,Carolina Panthers,2,0:01,Cincinnati Bengals,Zack Moss 1 yard pass from Joe Burrow (Evan McPherson kick),21,14
2024-09-29,Cincinnati Bengals,Carolina Panthers,3,10:38,Cincinnati Bengals,Chase Brown 1 yard rush (Evan McPherson kick),28,14
2024-09-29,Cincinnati Bengals,Carolina Panthers,3,2:52,Cincinnati Bengals,Evan McPherson 56 yard field goal,31,14
2024-09-29,Cincinnati Bengals,Carolina Panthers,3,0:53,Carolina Panthers,Diontae Johnson 21 yard pass from Andy Dalton (Eddy Piñeiro kick),31,21
2024-09-29,Cincinnati Bengals,Carolina Panthers,4,7:42,Carolina Panthers,Eddy Piñeiro 48 yard field goal,31,24
2024-09-29,Cincinnati Bengals,Carolina Panthers,4,1:14,Cincinnati Bengals,Evan McPherson 46 yard field goal,34,24
