Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-29,Cleveland Browns,Las Vegas Raiders,Deshaun Watson,Cleveland Browns,176,1,1,0,0,0,32,0,0
2024-09-29,Cleveland Browns,Las Vegas Raiders,Jerome Ford,Cleveland Browns,0,0,0,7,27,0,58,0,0
2024-09-29,Cleveland Browns,Las Vegas Raiders,D'Onta Foreman,Cleveland Browns,0,0,0,1,5,0,2,0,0
2024-09-29,Cleveland Browns,Las Vegas Raiders,Jerry Jeudy,Cleveland Browns,0,0,0,6,72,0,0,0,0
2024-09-29,Cleveland Browns,Las Vegas Raiders,Amari Cooper,Cleveland Browns,0,0,0,4,35,0,0,0,0
2024-09-29,Cleveland Browns,Las Vegas Raiders,Blake Whiteheart,Cleveland Browns,0,0,0,3,13,1,0,0,0
2024-09-29,Cleveland Browns,Las Vegas Raiders,Elijah Moore,Cleveland Browns,0,0,0,1,11,0,0,0,0
2024-09-29,Cleveland Browns,Las Vegas Raiders,Jordan Akins,Cleveland Browns,0,0,0,1,10,0,0,0,0
2024-09-29,Cleveland Browns,Las Vegas Raiders,James Proche,Cleveland Browns,0,0,0,1,3,0,0,0,0
2024-09-29,Cleveland Browns,Las Vegas Raiders,Gardner Minshew II,Las Vegas Raiders,130,0,0,0,0,0,-2,0,0
2024-09-29,Cleveland Browns,Las Vegas Raiders,Alexander Mattison,Las Vegas Raiders,0,0,0,0,0,0,60,0,0
2024-09-29,Cleveland Browns,Las Vegas Raiders,Zamir White,Las Vegas Raiders,0,0,0,0,0,0,50,0,1
2024-09-29,Cleveland Browns,Las Vegas Raiders,DJ Turner,Las Vegas Raiders,0,0,0,0,0,0,18,1,0
2024-09-29,Cleveland Browns,Las Vegas Raiders,Brock Bowers,Las Vegas Raiders,0,0,0,2,19,0,12,0,0
2024-09-29,Cleveland Browns,Las Vegas Raiders,Tyreik McAllister,Las Vegas Raiders,0,0,0,0,0,0,11,0,0
2024-09-29,Cleveland Browns,Las Vegas Raiders,Tre Tucker,Las Vegas Raiders,0,0,0,5,41,0,3,1,0
2024-09-29,Cleveland Browns,Las Vegas Raiders,Jakobi Meyers,Las Vegas Raiders,0,0,0,5,49,0,0,0,0
2024-09-29,Cleveland Browns,Las Vegas Raiders,Harrison Bryant,Las Vegas Raiders,0,0,0,2,21,0,0,0,0
