Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-29,Denver Broncos,New York Jets,Bo Nix,Denver Broncos,60,1,0,0,0,0,3,0,0
2024-09-29,Denver Broncos,New York Jets,Javonte Williams,Denver Broncos,0,0,0,2,3,0,77,0,0
2024-09-29,Denver Broncos,New York Jets,Jaleel McLaughlin,Denver Broncos,0,0,0,1,0,0,46,0,0
2024-09-29,Denver Broncos,New York Jets,Courtland Sutton,Denver Broncos,0,0,0,3,60,1,0,0,0
2024-09-29,Denver Broncos,New York Jets,Michael Burton,Denver Broncos,0,0,0,1,3,0,0,0,0
2024-09-29,Denver Broncos,New York Jets,Greg Dulcich,Denver Broncos,0,0,0,0,0,0,0,0,0
2024-09-29,Denver Broncos,New York Jets,Lil'Jordan Humphrey,Denver Broncos,0,0,0,0,0,0,0,0,0
2024-09-29,Denver Broncos,New York Jets,Nate Adkins,Denver Broncos,0,0,0,1,0,0,0,0,0
2024-09-29,Denver Broncos,New York Jets,Josh Reynolds,Denver Broncos,0,0,0,0,0,0,0,0,0
2024-09-29,Denver Broncos,New York Jets,Troy Franklin,Denver Broncos,0,0,0,2,-2,0,0,0,0
2024-09-29,Denver Broncos,New York Jets,Tyler Badie,Denver Broncos,0,0,0,2,-4,0,0,0,1
2024-09-29,Denver Broncos,New York Jets,Aaron Rodgers,New York Jets,225,0,0,0,0,0,26,0,0
2024-09-29,Denver Broncos,New York Jets,Braelon Allen,New York Jets,0,0,0,1,12,0,34,0,0
2024-09-29,Denver Broncos,New York Jets,Breece Hall,New York Jets,0,0,0,2,14,0,4,0,0
2024-09-29,Denver Broncos,New York Jets,Mike Williams,New York Jets,0,0,0,4,67,0,0,0,0
2024-09-29,Denver Broncos,New York Jets,Allen Lazard,New York Jets,0,0,0,5,58,0,0,0,0
2024-09-29,Denver Broncos,New York Jets,Garrett Wilson,New York Jets,0,0,0,5,41,0,0,0,1
2024-09-29,Denver Broncos,New York Jets,Tyler Conklin,New York Jets,0,0,0,4,17,0,0,0,0
2024-09-29,Denver Broncos,New York Jets,Jeremy Ruckert,New York Jets,0,0,0,2,10,0,0,0,0
2024-09-29,Denver Broncos,New York Jets,Xavier Gipson,New York Jets,0,0,0,1,6,0,0,0,0
