Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-29,Jacksonville Jaguars,Houston Texans,Trevor Lawrence,Jacksonville Jaguars,169,2,0,0,-5,0,5,0,0
2024-09-29,Jacksonville Jaguars,Houston Texans,Tank Bigsby,Jacksonville Jaguars,0,0,0,0,0,0,90,0,0
2024-09-29,Jacksonville Jaguars,Houston Texans,Travis Etienne,Jacksonville Jaguars,0,0,0,1,10,0,50,0,0
2024-09-29,Jacksonville Jaguars,Houston Texans,Brian Thomas,Jacksonville Jaguars,0,0,0,6,86,1,13,0,0
2024-09-29,Jacksonville Jaguars,Houston Texans,Christian Kirk,Jacksonville Jaguars,0,0,0,7,61,1,0,0,0
2024-09-29,Jacksonville Jaguars,Houston Texans,Brenton Strange,Jacksonville Jaguars,0,0,0,3,19,0,0,0,0
2024-09-29,Jacksonville Jaguars,Houston Texans,Luke Farrell,Jacksonville Jaguars,0,0,0,0,0,0,0,0,0
2024-09-29,Jacksonville Jaguars,Houston Texans,D'Ernest Johnson,Jacksonville Jaguars,0,0,0,0,0,0,0,0,0
2024-09-29,Jacksonville Jaguars,Houston Texans,Gabriel Davis,Jacksonville Jaguars,0,0,0,1,-2,0,0,0,0
2024-09-29,Jacksonville Jaguars,Houston Texans,C.J. Stroud,Houston Texans,345,2,0,0,0,0,17,0,0
2024-09-29,Jacksonville Jaguars,Houston Texans,Cam Akers,Houston Texans,0,0,0,0,0,0,53,0,0
2024-09-29,Jacksonville Jaguars,Houston Texans,J.J. Taylor,Houston Texans,0,0,0,0,0,0,18,0,0
2024-09-29,Jacksonville Jaguars,Houston Texans,Dare Ogunbowale,Houston Texans,0,0,0,4,47,1,7,0,0
2024-09-29,Jacksonville Jaguars,Houston Texans,Stefon Diggs,Houston Texans,0,0,0,5,69,0,6,1,0
2024-09-29,Jacksonville Jaguars,Houston Texans,Nico Collins,Houston Texans,0,0,0,12,151,1,0,0,0
2024-09-29,Jacksonville Jaguars,Houston Texans,Dalton Schultz,Houston Texans,0,0,0,3,34,0,0,0,0
2024-09-29,Jacksonville Jaguars,Houston Texans,Cade Stover,Houston Texans,0,0,0,1,27,0,0,0,0
2024-09-29,Jacksonville Jaguars,Houston Texans,Robert Woods,Houston Texans,0,0,0,1,10,0,0,0,0
2024-09-29,Jacksonville Jaguars,Houston Texans,John Metchie,Houston Texans,0,0,0,1,7,0,0,0,0
2024-09-29,Jacksonville Jaguars,Houston Texans,Steven Sims,Houston Texans,0,0,0,0,0,0,0,0,1
