Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-29,Kansas City Chiefs,Los Angeles Chargers,Patrick Mahomes,Kansas City Chiefs,245,1,1,0,0,0,12,0,0
2024-09-29,Kansas City Chiefs,Los Angeles Chargers,Kareem Hunt,Kansas City Chiefs,0,0,0,2,16,0,69,0,0
2024-09-29,Kansas City Chiefs,Los Angeles Chargers,Samaje Perine,Kansas City Chiefs,0,0,0,0,0,0,14,1,0
2024-09-29,Kansas City Chiefs,Los Angeles Chargers,Carson Steele,Kansas City Chiefs,0,0,0,1,0,0,6,0,1
2024-09-29,Kansas City Chiefs,Los Angeles Chargers,Travis Kelce,Kansas City Chiefs,0,0,0,7,89,0,0,0,0
2024-09-29,Kansas City Chiefs,Los Angeles Chargers,Xavier Worthy,Kansas City Chiefs,0,0,0,3,73,1,0,0,0
2024-09-29,Kansas City Chiefs,Los Angeles Chargers,Noah Gray,Kansas City Chiefs,0,0,0,4,40,0,0,0,0
2024-09-29,Kansas City Chiefs,Los Angeles Chargers,Justin Watson,Kansas City Chiefs,0,0,0,2,27,0,0,0,0
2024-09-29,Kansas City Chiefs,Los Angeles Chargers,Skyy Moore,Kansas City Chiefs,0,0,0,0,0,0,0,0,0
2024-09-29,Kansas City Chiefs,Los Angeles Chargers,Justin Herbert,Los Angeles Chargers,179,1,0,0,0,0,0,0,0
2024-09-29,Kansas City Chiefs,Los Angeles Chargers,J.K. Dobbins,Los Angeles Chargers,0,0,0,3,30,0,32,0,0
2024-09-29,Kansas City Chiefs,Los Angeles Chargers,Gus Edwards,Los Angeles Chargers,0,0,0,0,0,0,19,0,0
2024-09-29,Kansas City Chiefs,Los Angeles Chargers,Quentin Johnston,Los Angeles Chargers,0,0,0,1,9,0,4,0,0
2024-09-29,Kansas City Chiefs,Los Angeles Chargers,Ladd McConkey,Los Angeles Chargers,0,0,0,5,67,1,0,0,0
2024-09-29,Kansas City Chiefs,Los Angeles Chargers,Josh Palmer,Los Angeles Chargers,0,0,0,3,36,0,0,0,0
2024-09-29,Kansas City Chiefs,Los Angeles Chargers,Will Dissly,Los Angeles Chargers,0,0,0,2,24,0,0,0,0
2024-09-29,Kansas City Chiefs,Los Angeles Chargers,Scott Matlock,Los Angeles Chargers,0,0,0,1,7,0,0,0,0
2024-09-29,Kansas City Chiefs,Los Angeles Chargers,Hayden Hurst,Los Angeles Chargers,0,0,0,1,6,0,0,0,0
