Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-29,Los Angeles Rams,Chicago Bears,Matthew Stafford,Los Angeles Rams,224,0,1,0,0,0,-1,0,1
2024-09-29,Los Angeles Rams,Chicago Bears,Kyren Williams,Los Angeles Rams,0,0,0,4,10,0,94,1,0
2024-09-29,Los Angeles Rams,Chicago Bears,Ronnie Rivers,Los Angeles Rams,0,0,0,0,0,0,26,0,0
2024-09-29,Los Angeles Rams,Chicago Bears,Tutu Atwell,Los Angeles Rams,0,0,0,4,82,0,0,0,0
2024-09-29,Los Angeles Rams,Chicago Bears,Jordan Whittington,Los Angeles Rams,0,0,0,6,62,0,0,0,0
2024-09-29,Los Angeles Rams,Chicago Bears,Demarcus Robinson,Los Angeles Rams,0,0,0,2,37,0,0,0,0
2024-09-29,Los Angeles Rams,Chicago Bears,Colby Parkinson,Los Angeles Rams,0,0,0,4,33,0,0,0,0
2024-09-29,Los Angeles Rams,Chicago Bears,Tyler Johnson,Los Angeles Rams,0,0,0,0,0,0,0,0,0
2024-09-29,Los Angeles Rams,Chicago Bears,Caleb Williams,Chicago Bears,157,1,0,0,0,0,12,0,0
2024-09-29,Los Angeles Rams,Chicago Bears,D'Andre Swift,Chicago Bears,0,0,0,7,72,0,93,1,0
2024-09-29,Los Angeles Rams,Chicago Bears,Roschon Johnson,Chicago Bears,0,0,0,0,0,0,26,1,0
2024-09-29,Los Angeles Rams,Chicago Bears,Cole Kmet,Chicago Bears,0,0,0,3,34,0,0,0,0
2024-09-29,Los Angeles Rams,Chicago Bears,D.J. Moore,Chicago Bears,0,0,0,3,22,1,0,0,0
2024-09-29,Los Angeles Rams,Chicago Bears,Keenan Allen,Chicago Bears,0,0,0,3,19,0,0,0,0
2024-09-29,Los Angeles Rams,Chicago Bears,Rome Odunze,Chicago Bears,0,0,0,1,10,0,0,0,0
