Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-29,Minnesota Vikings,Green Bay Packers,Sam Darnold,Minnesota Vikings,275,3,1,0,0,0,15,0,1
2024-09-29,Minnesota Vikings,Green Bay Packers,Aaron Jones,Minnesota Vikings,0,0,0,4,46,0,93,0,0
2024-09-29,Minnesota Vikings,Green Bay Packers,Jordan Addison,Minnesota Vikings,0,0,0,3,72,1,7,1,0
2024-09-29,Minnesota Vikings,Green Bay Packers,Ty Chandler,Minnesota Vikings,0,0,0,1,8,0,5,0,0
2024-09-29,Minnesota Vikings,Green Bay Packers,Justin Jefferson,Minnesota Vikings,0,0,0,6,85,1,0,0,0
2024-09-29,Minnesota Vikings,Green Bay Packers,Jalen Nailor,Minnesota Vikings,0,0,0,1,31,0,0,0,1
2024-09-29,Minnesota Vikings,Green Bay Packers,Johnny Mundt,Minnesota Vikings,0,0,0,2,15,0,0,0,0
2024-09-29,Minnesota Vikings,Green Bay Packers,Josh Oliver,Minnesota Vikings,0,0,0,2,10,1,0,0,0
2024-09-29,Minnesota Vikings,Green Bay Packers,Trent Sherfield,Minnesota Vikings,0,0,0,1,8,0,0,0,0
2024-09-29,Minnesota Vikings,Green Bay Packers,Brandon Powell,Minnesota Vikings,0,0,0,0,0,0,0,0,0
2024-09-29,Minnesota Vikings,Green Bay Packers,Jordan Love,Green Bay Packers,389,4,3,0,0,0,6,0,0
2024-09-29,Minnesota Vikings,Green Bay Packers,Josh Jacobs,Green Bay Packers,0,0,0,4,27,0,51,0,0
2024-09-29,Minnesota Vikings,Green Bay Packers,Emanuel Wilson,Green Bay Packers,0,0,0,0,0,0,27,0,0
2024-09-29,Minnesota Vikings,Green Bay Packers,Jayden Reed,Green Bay Packers,0,0,0,7,139,1,2,0,0
2024-09-29,Minnesota Vikings,Green Bay Packers,Dontayvion Wicks,Green Bay Packers,0,0,0,5,78,2,0,0,0
2024-09-29,Minnesota Vikings,Green Bay Packers,Tucker Kraft,Green Bay Packers,0,0,0,6,53,1,0,0,1
2024-09-29,Minnesota Vikings,Green Bay Packers,Romeo Doubs,Green Bay Packers,0,0,0,4,39,0,0,0,0
2024-09-29,Minnesota Vikings,Green Bay Packers,Bo Melton,Green Bay Packers,0,0,0,1,28,0,0,0,0
2024-09-29,Minnesota Vikings,Green Bay Packers,Luke Musgrave,Green Bay Packers,0,0,0,3,13,0,0,0,0
2024-09-29,Minnesota Vikings,Green Bay Packers,Malik Heath,Green Bay Packers,0,0,0,2,12,0,0,0,0
2024-09-29,Minnesota Vikings,Green Bay Packers,Christian Watson,Green Bay Packers,0,0,0,0,0,0,0,0,0
