Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-29,New England Patriots,San Francisco 49ers,Jacoby Brissett,New England Patriots,168,1,1,0,0,0,3,0,1
2024-09-29,New England Patriots,San Francisco 49ers,Rhamondre Stevenson,New England Patriots,0,0,0,4,19,0,43,0,1
2024-09-29,New England Patriots,San Francisco 49ers,Jamycal Hasty,New England Patriots,0,0,0,0,0,0,15,0,0
2024-09-29,New England Patriots,San Francisco 49ers,Antonio Gibson,New England Patriots,0,0,0,3,67,0,12,0,0
2024-09-29,New England Patriots,San Francisco 49ers,Ja'Lynn Polk,New England Patriots,0,0,0,3,30,0,0,0,0
2024-09-29,New England Patriots,San Francisco 49ers,Demario Douglas,New England Patriots,0,0,0,3,13,0,0,0,0
2024-09-29,New England Patriots,San Francisco 49ers,Austin Hooper,New England Patriots,0,0,0,2,13,1,0,0,0
2024-09-29,New England Patriots,San Francisco 49ers,Hunter Henry,New England Patriots,0,0,0,2,12,0,0,0,0
2024-09-29,New England Patriots,San Francisco 49ers,Kayshon Boutte,New England Patriots,0,0,0,1,11,0,0,0,0
2024-09-29,New England Patriots,San Francisco 49ers,K.J. Osborn,New England Patriots,0,0,0,1,3,0,0,0,0
2024-09-29,New England Patriots,San Francisco 49ers,Tyquan Thornton,New England Patriots,0,0,0,0,0,0,0,0,0
2024-09-29,New England Patriots,San Francisco 49ers,Brock Purdy,San Francisco 49ers,288,1,1,0,0,0,11,0,0
2024-09-29,New England Patriots,San Francisco 49ers,Jordan Mason,San Francisco 49ers,0,0,0,2,37,0,123,1,0
2024-09-29,New England Patriots,San Francisco 49ers,Deebo Samuel,San Francisco 49ers,0,0,0,3,58,0,14,0,0
2024-09-29,New England Patriots,San Francisco 49ers,Jauan Jennings,San Francisco 49ers,0,0,0,3,88,0,0,0,0
2024-09-29,New England Patriots,San Francisco 49ers,Brandon Aiyuk,San Francisco 49ers,0,0,0,2,48,0,0,0,0
2024-09-29,New England Patriots,San Francisco 49ers,George Kittle,San Francisco 49ers,0,0,0,4,45,1,0,0,0
2024-09-29,New England Patriots,San Francisco 49ers,Kyle Juszczyk,San Francisco 49ers,0,0,0,1,12,0,0,0,0
2024-09-29,New England Patriots,San Francisco 49ers,Isaac Guerendo,San Francisco 49ers,0,0,0,0,0,0,0,0,1
2024-09-29,New England Patriots,San Francisco 49ers,Chris Conley,San Francisco 49ers,0,0,0,0,0,0,0,0,0
