Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-29,New Orleans Saints,Atlanta Falcons,Derek Carr,New Orleans Saints,239,0,1,0,0,0,5,0,0
2024-09-29,New Orleans Saints,Atlanta Falcons,Alvin Kamara,New Orleans Saints,0,0,0,7,42,0,77,1,0
2024-09-29,New Orleans Saints,Atlanta Falcons,Taysom Hill,New Orleans Saints,0,0,0,0,0,0,24,2,0
2024-09-29,New Orleans Saints,Atlanta Falcons,Rashid Shaheed,New Orleans Saints,0,0,0,8,83,0,14,0,1
2024-09-29,New Orleans Saints,Atlanta Falcons,Jamaal Williams,New Orleans Saints,0,0,0,2,8,0,11,0,0
2024-09-29,New Orleans Saints,Atlanta Falcons,Chris Olave,New Orleans Saints,0,0,0,8,87,0,0,0,0
2024-09-29,New Orleans Saints,Atlanta Falcons,Juwan Johnson,New Orleans Saints,0,0,0,2,13,0,0,0,0
2024-09-29,New Orleans Saints,Atlanta Falcons,Mason Tipton,New Orleans Saints,0,0,0,1,6,0,0,0,0
2024-09-29,New Orleans Saints,Atlanta Falcons,Kirk Cousins,Atlanta Falcons,238,0,1,0,0,0,0,0,0
2024-09-29,New Orleans Saints,Atlanta Falcons,Tyler Allgeier,Atlanta Falcons,0,0,0,2,20,0,60,0,0
2024-09-29,New Orleans Saints,Atlanta Falcons,Bijan Robinson,Atlanta Falcons,0,0,0,4,46,0,28,0,0
2024-09-29,New Orleans Saints,Atlanta Falcons,Drake London,Atlanta Falcons,0,0,0,6,64,0,0,0,0
2024-09-29,New Orleans Saints,Atlanta Falcons,Darnell Mooney,Atlanta Falcons,0,0,0,3,56,0,0,0,0
2024-09-29,New Orleans Saints,Atlanta Falcons,Ray-Ray McCloud,Atlanta Falcons,0,0,0,6,52,0,0,0,0
2024-09-29,New Orleans Saints,Atlanta Falcons,Kyle Pitts,Atlanta Falcons,0,0,0,0,0,0,0,0,0
