Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-09-29,New Orleans Saints,Atlanta Falcons,1,11:13,Atlanta Falcons,KhaDarel Hodge fumble recovery in end zone (Younghoe Koo kick),0,7
2024-09-29,New Orleans Saints,Atlanta Falcons,1,6:39,New Orleans Saints,Taysom Hill 2 yard rush (Blake Grupe kick),7,7
2024-09-29,New Orleans Saints,Atlanta Falcons,2,13:42,New Orleans Saints,Taysom Hill 5 yard rush (Blake Grupe kick),14,7
2024-09-29,New Orleans Saints,Atlanta Falcons,2,9:57,Atlanta Falcons,Younghoe Koo 53 yard field goal,14,10
2024-09-29,New Orleans Saints,Atlanta Falcons,2,7:54,Atlanta Falcons,Troy Andersen 47 yard interception return (Younghoe Koo kick),14,17
2024-09-29,New Orleans Saints,Atlanta Falcons,3,6:46,Atlanta Falcons,Younghoe Koo 44 yard field goal,14,20
2024-09-29,New Orleans Saints,Atlanta Falcons,3,1:03,New Orleans Saints,Blake Grupe 43 yard field goal,17,20
2024-09-29,New Orleans Saints,Atlanta Falcons,4,10:09,Atlanta Falcons,Younghoe Koo 42 yard field goal,17,23
2024-09-29,New Orleans Saints,Atlanta Falcons,4,1:00,New Orleans Saints,Alvin Kamara 1 yard rush (Blake Grupe kick),24,23
2024-09-29,New Orleans Saints,Atlanta Falcons,4,0:02,Atlanta Falcons,Younghoe Koo 58 yard field goal,24,26
