Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-29,Philadelphia Eagles,Tampa Bay Buccaneers,Jalen Hurts,Philadelphia Eagles,158,1,0,0,0,0,20,1,1
2024-09-29,Philadelphia Eagles,Tampa Bay Buccaneers,Saquon Barkley,Philadelphia Eagles,0,0,0,2,32,0,84,0,0
2024-09-29,Philadelphia Eagles,Tampa Bay Buccaneers,Kenneth Gainwell,Philadelphia Eagles,0,0,0,0,0,0,9,0,0
2024-09-29,Philadelphia Eagles,Tampa Bay Buccaneers,Dallas Goedert,Philadelphia Eagles,0,0,0,7,62,0,0,0,0
2024-09-29,Philadelphia Eagles,Tampa Bay Buccaneers,Grant Calcaterra,Philadelphia Eagles,0,0,0,1,26,0,0,0,0
2024-09-29,Philadelphia Eagles,Tampa Bay Buccaneers,Parris Campbell,Philadelphia Eagles,0,0,0,4,17,1,0,0,0
2024-09-29,Philadelphia Eagles,Tampa Bay Buccaneers,Jahan Dotson,Philadelphia Eagles,0,0,0,2,11,0,0,0,0
2024-09-29,Philadelphia Eagles,Tampa Bay Buccaneers,John Ross,Philadelphia Eagles,0,0,0,1,6,0,0,0,0
2024-09-29,Philadelphia Eagles,Tampa Bay Buccaneers,Jack Stoll,Philadelphia Eagles,0,0,0,1,4,0,0,0,0
2024-09-29,Philadelphia Eagles,Tampa Bay Buccaneers,Johnny Wilson,Philadelphia Eagles,0,0,0,0,0,0,0,0,0
2024-09-29,Philadelphia Eagles,Tampa Bay Buccaneers,Baker Mayfield,Tampa Bay Buccaneers,347,2,0,0,0,0,10,1,0
2024-09-29,Philadelphia Eagles,Tampa Bay Buccaneers,Rachaad White,Tampa Bay Buccaneers,0,0,0,2,35,0,49,0,0
2024-09-29,Philadelphia Eagles,Tampa Bay Buccaneers,Bucky Irving,Tampa Bay Buccaneers,0,0,0,1,6,0,49,1,0
2024-09-29,Philadelphia Eagles,Tampa Bay Buccaneers,Sean Tucker,Tampa Bay Buccaneers,0,0,0,1,14,0,3,0,0
2024-09-29,Philadelphia Eagles,Tampa Bay Buccaneers,Mike Evans,Tampa Bay Buccaneers,0,0,0,8,94,1,0,0,0
2024-09-29,Philadelphia Eagles,Tampa Bay Buccaneers,Chris Godwin,Tampa Bay Buccaneers,0,0,0,6,69,0,0,0,0
2024-09-29,Philadelphia Eagles,Tampa Bay Buccaneers,Cade Otton,Tampa Bay Buccaneers,0,0,0,6,52,0,0,0,0
2024-09-29,Philadelphia Eagles,Tampa Bay Buccaneers,Sterling Shepard,Tampa Bay Buccaneers,0,0,0,3,51,0,0,0,0
2024-09-29,Philadelphia Eagles,Tampa Bay Buccaneers,Trey Palmer,Tampa Bay Buccaneers,0,0,0,3,26,1,0,0,0
2024-09-29,Philadelphia Eagles,Tampa Bay Buccaneers,Kameron Johnson,Tampa Bay Buccaneers,0,0,0,0,0,0,0,0,0
