Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-29,Pittsburgh Steelers,Indianapolis Colts,Justin Fields,Pittsburgh Steelers,312,1,0,0,0,0,55,2,1
2024-09-29,Pittsburgh Steelers,Indianapolis Colts,Cordarrelle Patterson,Pittsburgh Steelers,0,0,0,2,19,0,43,0,0
2024-09-29,Pittsburgh Steelers,Indianapolis Colts,Najee Harris,Pittsburgh Steelers,0,0,0,3,54,0,19,0,0
2024-09-29,Pittsburgh Steelers,Indianapolis Colts,Aaron Shampklin,Pittsburgh Steelers,0,0,0,0,0,0,5,0,0
2024-09-29,Pittsburgh Steelers,Indianapolis Colts,George Pickens,Pittsburgh Steelers,0,0,0,7,113,0,0,0,1
2024-09-29,Pittsburgh Steelers,Indianapolis Colts,Pat Freiermuth,Pittsburgh Steelers,0,0,0,5,57,1,0,0,0
2024-09-29,Pittsburgh Steelers,Indianapolis Colts,Darnell Washington,Pittsburgh Steelers,0,0,0,2,31,0,0,0,0
2024-09-29,Pittsburgh Steelers,Indianapolis Colts,Van Jefferson,Pittsburgh Steelers,0,0,0,2,21,0,0,0,0
2024-09-29,Pittsburgh Steelers,Indianapolis Colts,Calvin Austin III,Pittsburgh Steelers,0,0,0,1,17,0,0,0,0
2024-09-29,Pittsburgh Steelers,Indianapolis Colts,Joe Flacco,Indianapolis Colts,168,2,0,0,0,0,3,0,0
2024-09-29,Pittsburgh Steelers,Indianapolis Colts,Anthony Richardson,Indianapolis Colts,71,0,0,0,0,0,24,0,0
2024-09-29,Pittsburgh Steelers,Indianapolis Colts,Jonathan Taylor,Indianapolis Colts,0,0,0,3,20,0,88,1,0
2024-09-29,Pittsburgh Steelers,Indianapolis Colts,Adonai Mitchell,Indianapolis Colts,0,0,0,0,0,0,10,0,0
2024-09-29,Pittsburgh Steelers,Indianapolis Colts,Trey Sermon,Indianapolis Colts,0,0,0,0,0,0,8,0,0
2024-09-29,Pittsburgh Steelers,Indianapolis Colts,Michael Pittman Jr.,Indianapolis Colts,0,0,0,6,113,0,0,0,0
2024-09-29,Pittsburgh Steelers,Indianapolis Colts,Josh Downs,Indianapolis Colts,0,0,0,8,82,1,0,0,0
2024-09-29,Pittsburgh Steelers,Indianapolis Colts,Andrew Ogletree,Indianapolis Colts,0,0,0,1,15,1,0,0,0
2024-09-29,Pittsburgh Steelers,Indianapolis Colts,Alec Pierce,Indianapolis Colts,0,0,0,1,9,0,0,0,0
