Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-29,Washington Commanders,Arizona Cardinals,Jayden Daniels,Washington Commanders,233,1,1,0,0,0,47,1,0
2024-09-29,Washington Commanders,Arizona Cardinals,Brian Robinson Jr.,Washington Commanders,0,0,0,3,12,0,101,1,0
2024-09-29,Washington Commanders,Arizona Cardinals,Jeremy McNichols,Washington Commanders,0,0,0,1,6,0,68,2,0
2024-09-29,Washington Commanders,Arizona Cardinals,Olamide Zaccheaus,Washington Commanders,0,0,0,6,85,0,0,0,0
2024-09-29,Washington Commanders,Arizona Cardinals,Terry McLaurin,Washington Commanders,0,0,0,7,52,1,0,0,0
2024-09-29,Washington Commanders,Arizona Cardinals,Noah Brown,Washington Commanders,0,0,0,3,26,0,0,0,0
2024-09-29,Washington Commanders,Arizona Cardinals,Zach Ertz,Washington Commanders,0,0,0,3,22,0,0,0,0
2024-09-29,Washington Commanders,Arizona Cardinals,Luke McCaffrey,Washington Commanders,0,0,0,1,17,0,0,0,0
2024-09-29,Washington Commanders,Arizona Cardinals,John Bates,Washington Commanders,0,0,0,1,9,0,0,0,0
2024-09-29,Washington Commanders,Arizona Cardinals,Dyami Brown,Washington Commanders,0,0,0,1,4,0,0,0,0
2024-09-29,Washington Commanders,Arizona Cardinals,Kyler Murray,Arizona Cardinals,142,1,0,0,0,0,3,0,0
2024-09-29,Washington Commanders,Arizona Cardinals,James Conner,Arizona Cardinals,0,0,0,1,9,0,104,1,0
2024-09-29,Washington Commanders,Arizona Cardinals,Trey Benson,Arizona Cardinals,0,0,0,0,0,0,50,0,0
2024-09-29,Washington Commanders,Arizona Cardinals,Emari Demercado,Arizona Cardinals,0,0,0,1,0,0,24,0,0
2024-09-29,Washington Commanders,Arizona Cardinals,Marvin Harrison Jr.,Arizona Cardinals,0,0,0,5,45,1,0,0,0
2024-09-29,Washington Commanders,Arizona Cardinals,Greg Dortch,Arizona Cardinals,0,0,0,4,38,0,0,0,0
2024-09-29,Washington Commanders,Arizona Cardinals,Michael Wilson,Arizona Cardinals,0,0,0,3,38,0,0,0,1
2024-09-29,Washington Commanders,Arizona Cardinals,Elijah Higgins,Arizona Cardinals,0,0,0,2,12,0,0,0,0
