Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-30,Seattle Seahawks,Detroit Lions,Geno Smith,Seattle Seahawks,395,1,1,0,0,0,38,0,0
2024-09-30,Seattle Seahawks,Detroit Lions,Kenneth Walker III,Seattle Seahawks,0,0,0,4,36,0,80,3,0
2024-09-30,Seattle Seahawks,Detroit Lions,Zach Charbonnet,Seattle Seahawks,0,0,0,5,39,0,15,0,0
2024-09-30,Seattle Seahawks,Detroit Lions,D.K. Metcalf,Seattle Seahawks,0,0,0,7,104,0,0,0,1
2024-09-30,Seattle Seahawks,Detroit Lions,Tyler Lockett,Seattle Seahawks,0,0,0,5,61,0,0,0,0
2024-09-30,Seattle Seahawks,Detroit Lions,Jaxon Smith-Njigba,Seattle Seahawks,0,0,0,8,51,0,0,0,0
2024-09-30,Seattle Seahawks,Detroit Lions,Jake Bobo,Seattle Seahawks,0,0,0,3,30,0,0,0,0
2024-09-30,Seattle Seahawks,Detroit Lions,AJ Barner,Seattle Seahawks,0,0,0,2,27,1,0,0,0
2024-09-30,Seattle Seahawks,Detroit Lions,Noah Fant,Seattle Seahawks,0,0,0,2,26,0,0,0,0
2024-09-30,Seattle Seahawks,Detroit Lions,Laviska Shenault Jr.,Seattle Seahawks,0,0,0,1,18,0,0,0,0
2024-09-30,Seattle Seahawks,Detroit Lions,Pharaoh Brown,Seattle Seahawks,0,0,0,1,3,0,0,0,0
2024-09-30,Seattle Seahawks,Detroit Lions,Jared Goff,Detroit Lions,292,2,0,1,7,1,-2,0,0
2024-09-30,Seattle Seahawks,Detroit Lions,Amon-Ra St. Brown,Detroit Lions,7,1,0,6,45,1,0,0,0
2024-09-30,Seattle Seahawks,Detroit Lions,Jahmyr Gibbs,Detroit Lions,0,0,0,0,0,0,78,2,0
2024-09-30,Seattle Seahawks,Detroit Lions,David Montgomery,Detroit Lions,0,0,0,1,40,0,40,1,0
2024-09-30,Seattle Seahawks,Detroit Lions,Jameson Williams,Detroit Lions,0,0,0,2,80,1,0,0,0
2024-09-30,Seattle Seahawks,Detroit Lions,Sam LaPorta,Detroit Lions,0,0,0,4,53,0,0,0,0
2024-09-30,Seattle Seahawks,Detroit Lions,Tim Patrick,Detroit Lions,0,0,0,2,52,0,0,0,0
2024-09-30,Seattle Seahawks,Detroit Lions,Brock Wright,Detroit Lions,0,0,0,2,13,0,0,0,0
2024-09-30,Seattle Seahawks,Detroit Lions,Kalif Raymond,Detroit Lions,0,0,0,1,9,0,0,0,0
