Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-09-30,Seattle Seahawks,Detroit Lions,1,3:11,Detroit Lions,David Montgomery 1 yard rush (Jake Bates kick),0,7
2024-09-30,Seattle Seahawks,Detroit Lions,2,14:58,Detroit Lions,Jahmyr Gibbs 3 yard rush (Jake Bates kick),0,14
2024-09-30,Seattle Seahawks,Detroit Lions,2,10:08,Seattle Seahawks,Kenneth Walker III 1 yard rush (Jason Myers kick),7,14
2024-09-30,Seattle Seahawks,Detroit Lions,2,5:11,Detroit Lions,Jahmyr Gibbs 1 yard rush (Jake Bates kick),7,21
2024-09-30,Seattle Seahawks,Detroit Lions,3,9:46,Seattle Seahawks,AJ Barner 9 yard pass from Geno Smith (Jason Myers kick),14,21
2024-09-30,Seattle Seahawks,Detroit Lions,3,6:57,Detroit Lions,Jared Goff 7 yard pass from Amon-Ra St. Brown (Jake Bates kick),14,28
2024-09-30,Seattle Seahawks,Detroit Lions,3,3:03,Seattle Seahawks,Kenneth Walker III 1 yard rush (pass failed),20,28
2024-09-30,Seattle Seahawks,Detroit Lions,3,2:52,Detroit Lions,Jameson Williams 70 yard pass from Jared Goff (Jake Bates kick),20,35
2024-09-30,Seattle Seahawks,Detroit Lions,4,14:48,Seattle Seahawks,Kenneth Walker III 21 yard rush (Jason Myers kick),27,35
2024-09-30,Seattle Seahawks,Detroit Lions,4,5:23,Detroit Lions,Amon-Ra St. Brown 8 yard pass from Jared Goff (Jake Bates kick),27,42
2024-09-30,Seattle Seahawks,Detroit Lions,4,2:01,Seattle Seahawks,"Safety, Jared Goff sacked in end zone by Dre'Mont Jones",29,42
