Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-09-30,Tennessee Titans,Miami Dolphins,Mason Rudolph,Tennessee Titans,85,0,0,0,0,0,0,0,0
2024-09-30,Tennessee Titans,Miami Dolphins,Will Levis,Tennessee Titans,25,0,1,0,0,0,5,0,0
2024-09-30,Tennessee Titans,Miami Dolphins,Tony Pollard,Tennessee Titans,0,0,0,2,20,0,88,1,0
2024-09-30,Tennessee Titans,Miami Dolphins,Tyjae Spears,Tennessee Titans,0,0,0,2,0,0,39,1,0
2024-09-30,Tennessee Titans,Miami Dolphins,Calvin Ridley,Tennessee Titans,0,0,0,1,5,0,10,0,0
2024-09-30,Tennessee Titans,Miami Dolphins,Tyler Boyd,Tennessee Titans,0,0,0,2,31,0,0,0,0
2024-09-30,Tennessee Titans,Miami Dolphins,DeAndre Hopkins,Tennessee Titans,0,0,0,2,31,0,0,0,0
2024-09-30,Tennessee Titans,Miami Dolphins,Treylon Burks,Tennessee Titans,0,0,0,1,13,0,0,0,0
2024-09-30,Tennessee Titans,Miami Dolphins,Chigoziem Okonkwo,Tennessee Titans,0,0,0,1,5,0,0,0,0
2024-09-30,Tennessee Titans,Miami Dolphins,Josh Whyle,Tennessee Titans,0,0,0,1,5,0,0,0,0
2024-09-30,Tennessee Titans,Miami Dolphins,Tyler Huntley,Miami Dolphins,96,0,0,0,0,0,40,1,1
2024-09-30,Tennessee Titans,Miami Dolphins,Jaylen Wright,Miami Dolphins,0,0,0,0,0,0,32,0,0
2024-09-30,Tennessee Titans,Miami Dolphins,Tyreek Hill,Miami Dolphins,0,0,0,4,23,0,19,0,0
2024-09-30,Tennessee Titans,Miami Dolphins,De'Von Achane,Miami Dolphins,0,0,0,3,14,0,15,0,0
2024-09-30,Tennessee Titans,Miami Dolphins,Jaylen Waddle,Miami Dolphins,0,0,0,4,36,0,0,0,0
2024-09-30,Tennessee Titans,Miami Dolphins,Tanner Conner,Miami Dolphins,0,0,0,2,15,0,0,0,0
2024-09-30,Tennessee Titans,Miami Dolphins,Malik Washington,Miami Dolphins,0,0,0,1,8,0,0,0,0
2024-09-30,Tennessee Titans,Miami Dolphins,Jonnu Smith,Miami Dolphins,0,0,0,0,0,0,0,0,0
