Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-09-30,Tennessee Titans,Miami Dolphins,2,14:16,Tennessee Titans,Nick Folk 53 yard field goal,3,0
2024-09-30,Tennessee Titans,Miami Dolphins,2,8:20,Tennessee Titans,Nick Folk 52 yard field goal,6,0
2024-09-30,Tennessee Titans,Miami Dolphins,2,4:13,Miami Dolphins,Jason Sanders 44 yard field goal,6,3
2024-09-30,Tennessee Titans,Miami Dolphins,2,0:00,Tennessee Titans,Nick Folk 47 yard field goal,9,3
2024-09-30,Tennessee Titans,Miami Dolphins,3,9:02,Miami Dolphins,Jason Sanders 56 yard field goal,9,6
2024-09-30,Tennessee Titans,Miami Dolphins,3,6:00,Tennessee Titans,Tyjae Spears 7 yard rush (Nick Folk kick),16,6
2024-09-30,Tennessee Titans,Miami Dolphins,3,0:36,Tennessee Titans,Nick Folk 51 yard field goal,19,6
2024-09-30,Tennessee Titans,Miami Dolphins,4,10:45,Tennessee Titans,Nick Folk 29 yard field goal,22,6
2024-09-30,Tennessee Titans,Miami Dolphins,4,3:36,Miami Dolphins,Tyler Huntley 1 yard rush (pass failed),22,12
2024-09-30,Tennessee Titans,Miami Dolphins,4,2:27,Tennessee Titans,"Safety, Tyler Huntley intentional grounding in end zone",24,12
2024-09-30,Tennessee Titans,Miami Dolphins,4,0:24,Tennessee Titans,Tony Pollard 4 yard rush (Nick Folk kick),31,12
