Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-03,Tampa Bay Buccaneers,Atlanta Falcons,Baker Mayfield,Tampa Bay Buccaneers,180,3,0,0,0,0,42,0,0
2024-10-03,Tampa Bay Buccaneers,Atlanta Falcons,Rachaad White,Tampa Bay Buccaneers,0,0,0,3,-6,0,72,0,0
2024-10-03,Tampa Bay Buccaneers,Atlanta Falcons,Bucky Irving,Tampa Bay Buccaneers,0,0,0,2,12,0,44,0,1
2024-10-03,Tampa Bay Buccaneers,Atlanta Falcons,Chris Godwin,Tampa Bay Buccaneers,0,0,0,5,64,0,2,0,0
2024-10-03,Tampa Bay Buccaneers,Atlanta Falcons,Mike Evans,Tampa Bay Buccaneers,0,0,0,5,62,2,0,0,0
2024-10-03,Tampa Bay Buccaneers,Atlanta Falcons,Cade Otton,Tampa Bay Buccaneers,0,0,0,3,44,0,0,0,0
2024-10-03,Tampa Bay Buccaneers,Atlanta Falcons,Sterling Shepard,Tampa Bay Buccaneers,0,0,0,1,4,1,0,0,0
2024-10-03,Tampa Bay Buccaneers,Atlanta Falcons,Kirk Cousins,Atlanta Falcons,509,4,1,0,0,0,0,0,0
2024-10-03,Tampa Bay Buccaneers,Atlanta Falcons,Darnell Mooney,Atlanta Falcons,0,0,0,9,105,2,0,0,0
2024-10-03,Tampa Bay Buccaneers,Atlanta Falcons,Bijan Robinson,Atlanta Falcons,0,0,0,3,16,0,61,0,0
2024-10-03,Tampa Bay Buccaneers,Atlanta Falcons,Tyler Allgeier,Atlanta Falcons,0,0,0,3,13,0,12,0,0
2024-10-03,Tampa Bay Buccaneers,Atlanta Falcons,Drake London,Atlanta Falcons,0,0,0,12,154,1,0,0,0
2024-10-03,Tampa Bay Buccaneers,Atlanta Falcons,Kyle Pitts,Atlanta Falcons,0,0,0,7,88,0,0,0,0
2024-10-03,Tampa Bay Buccaneers,Atlanta Falcons,KhaDarel Hodge,Atlanta Falcons,0,0,0,2,67,1,0,0,0
2024-10-03,Tampa Bay Buccaneers,Atlanta Falcons,Ray-Ray McCloud,Atlanta Falcons,0,0,0,6,66,0,0,0,0
