Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-10-03,Tampa Bay Buccaneers,Atlanta Falcons,1,12:02,Atlanta Falcons,Drake London 18 yard pass from Kirk Cousins (Younghoe Koo kick),0,7
2024-10-03,Tampa Bay Buccaneers,Atlanta Falcons,1,7:42,Tampa Bay Buccaneers,Mike Evans 2 yard pass from Baker Mayfield (Chase McLaughlin kick),7,7
2024-10-03,Tampa Bay Buccaneers,Atlanta Falcons,1,1:22,Tampa Bay Buccaneers,Chase McLaughlin 53 yard field goal,10,7
2024-10-03,Tampa Bay Buccaneers,Atlanta Falcons,2,11:58,Atlanta Falcons,Darnell Mooney 24 yard pass from Kirk Cousins (Younghoe Koo kick),10,14
2024-10-03,Tampa Bay Buccaneers,Atlanta Falcons,2,10:23,Tampa Bay Buccaneers,Mike Evans 23 yard pass from Baker Mayfield (Chase McLaughlin kick),17,14
2024-10-03,Tampa Bay Buccaneers,Atlanta Falcons,2,6:17,Atlanta Falcons,Younghoe Koo 54 yard field goal,17,17
2024-10-03,Tampa Bay Buccaneers,Atlanta Falcons,2,1:56,Tampa Bay Buccaneers,Sterling Shepard 4 yard pass from Baker Mayfield (Chase McLaughlin kick),24,17
2024-10-03,Tampa Bay Buccaneers,Atlanta Falcons,3,6:21,Atlanta Falcons,Younghoe Koo 48 yard field goal,24,20
2024-10-03,Tampa Bay Buccaneers,Atlanta Falcons,3,1:17,Tampa Bay Buccaneers,Chase McLaughlin 32 yard field goal,27,20
2024-10-03,Tampa Bay Buccaneers,Atlanta Falcons,4,13:18,Atlanta Falcons,Darnell Mooney 12 yard pass from Kirk Cousins (Younghoe Koo kick),27,27
2024-10-03,Tampa Bay Buccaneers,Atlanta Falcons,4,10:23,Tampa Bay Buccaneers,Chase McLaughlin 53 yard field goal,30,27
2024-10-03,Tampa Bay Buccaneers,Atlanta Falcons,4,0:00,Atlanta Falcons,Younghoe Koo 52 yard field goal,30,30
2024-10-03,Tampa Bay Buccaneers,Atlanta Falcons,OT,8:45,Atlanta Falcons,KhaDarel Hodge 45 yard pass from Kirk Cousins,30,36
