Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-06,Arizona Cardinals,San Francisco 49ers,Kyler Murray,Arizona Cardinals,195,1,1,0,0,0,83,1,0
2024-10-06,Arizona Cardinals,San Francisco 49ers,James Conner,Arizona Cardinals,0,0,0,2,14,0,86,0,0
2024-10-06,Arizona Cardinals,San Francisco 49ers,Michael Wilson,Arizona Cardinals,0,0,0,5,78,0,0,0,0
2024-10-06,Arizona Cardinals,San Francisco 49ers,Trey McBride,Arizona Cardinals,0,0,0,6,53,0,0,0,0
2024-10-06,Arizona Cardinals,San Francisco 49ers,Marvin Harrison Jr.,Arizona Cardinals,0,0,0,2,36,0,0,0,0
2024-10-06,Arizona Cardinals,San Francisco 49ers,Greg Dortch,Arizona Cardinals,0,0,0,1,7,0,0,0,0
2024-10-06,Arizona Cardinals,San Francisco 49ers,Tip Reiman,Arizona Cardinals,0,0,0,1,5,0,0,0,0
2024-10-06,Arizona Cardinals,San Francisco 49ers,Elijah Higgins,Arizona Cardinals,0,0,0,1,2,1,0,0,0
2024-10-06,Arizona Cardinals,San Francisco 49ers,Emari Demercado,Arizona Cardinals,0,0,0,1,0,0,0,0,0
2024-10-06,Arizona Cardinals,San Francisco 49ers,Brock Purdy,San Francisco 49ers,244,1,2,0,0,0,33,0,0
2024-10-06,Arizona Cardinals,San Francisco 49ers,Jordan Mason,San Francisco 49ers,0,0,0,1,9,0,89,0,1
2024-10-06,Arizona Cardinals,San Francisco 49ers,Isaac Guerendo,San Francisco 49ers,0,0,0,0,0,0,22,0,0
2024-10-06,Arizona Cardinals,San Francisco 49ers,Deebo Samuel,San Francisco 49ers,0,0,0,1,11,0,9,0,0
2024-10-06,Arizona Cardinals,San Francisco 49ers,Brandon Aiyuk,San Francisco 49ers,0,0,0,8,147,0,0,0,0
2024-10-06,Arizona Cardinals,San Francisco 49ers,George Kittle,San Francisco 49ers,0,0,0,8,64,1,0,0,0
2024-10-06,Arizona Cardinals,San Francisco 49ers,Jauan Jennings,San Francisco 49ers,0,0,0,1,13,0,0,0,0
