Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-10-06,Arizona Cardinals,San Francisco 49ers,1,13:12,Arizona Cardinals,Kyler Murray 50 yard rush (Chad Ryland kick),7,0
2024-10-06,Arizona Cardinals,San Francisco 49ers,1,10:25,San Francisco 49ers,Jake Moody 28 yard field goal,7,3
2024-10-06,Arizona Cardinals,San Francisco 49ers,1,2:20,San Francisco 49ers,George Kittle 4 yard pass from Brock Purdy (Jake Moody kick),7,10
2024-10-06,Arizona Cardinals,San Francisco 49ers,2,12:43,Arizona Cardinals,Chad Ryland 30 yard field goal,10,10
2024-10-06,Arizona Cardinals,San Francisco 49ers,2,6:59,San Francisco 49ers,Jake Moody 20 yard field goal,10,13
2024-10-06,Arizona Cardinals,San Francisco 49ers,2,4:59,San Francisco 49ers,Deommodore Lenoir 61 yard blocked field goal return (Jake Moody kick),10,20
2024-10-06,Arizona Cardinals,San Francisco 49ers,2,0:00,San Francisco 49ers,Mitch Wishnowsky 26 yard field goal,10,23
2024-10-06,Arizona Cardinals,San Francisco 49ers,3,9:59,Arizona Cardinals,Chad Ryland 42 yard field goal,13,23
2024-10-06,Arizona Cardinals,San Francisco 49ers,4,11:25,Arizona Cardinals,Elijah Higgins 2 yard pass from Kyler Murray (James Conner run),21,23
2024-10-06,Arizona Cardinals,San Francisco 49ers,4,1:37,Arizona Cardinals,Chad Ryland 35 yard field goal,24,23
