Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-06,Baltimore Ravens,Cincinnati Bengals,Lamar Jackson,Baltimore Ravens,348,4,0,0,0,0,55,0,1
2024-10-06,Baltimore Ravens,Cincinnati Bengals,Derrick Henry,Baltimore Ravens,0,0,0,1,4,0,92,1,0
2024-10-06,Baltimore Ravens,Cincinnati Bengals,Justice Hill,Baltimore Ravens,0,0,0,1,8,0,17,0,0
2024-10-06,Baltimore Ravens,Cincinnati Bengals,Zay Flowers,Baltimore Ravens,0,0,0,7,111,0,9,0,0
2024-10-06,Baltimore Ravens,Cincinnati Bengals,Charlie Kolar,Baltimore Ravens,0,0,0,3,64,1,2,0,0
2024-10-06,Baltimore Ravens,Cincinnati Bengals,Rashod Bateman,Baltimore Ravens,0,0,0,4,58,1,0,0,0
2024-10-06,Baltimore Ravens,Cincinnati Bengals,Mark Andrews,Baltimore Ravens,0,0,0,4,55,0,0,0,0
2024-10-06,Baltimore Ravens,Cincinnati Bengals,Tylan Wallace,Baltimore Ravens,0,0,0,2,31,0,0,0,0
2024-10-06,Baltimore Ravens,Cincinnati Bengals,Isaiah Likely,Baltimore Ravens,0,0,0,3,13,2,0,0,0
2024-10-06,Baltimore Ravens,Cincinnati Bengals,Nelson Agholor,Baltimore Ravens,0,0,0,1,4,0,0,0,0
2024-10-06,Baltimore Ravens,Cincinnati Bengals,Joe Burrow,Cincinnati Bengals,392,5,1,0,0,0,1,0,0
2024-10-06,Baltimore Ravens,Cincinnati Bengals,Chase Brown,Cincinnati Bengals,0,0,0,3,8,1,46,0,0
2024-10-06,Baltimore Ravens,Cincinnati Bengals,Zack Moss,Cincinnati Bengals,0,0,0,3,28,0,24,0,0
2024-10-06,Baltimore Ravens,Cincinnati Bengals,Ja'Marr Chase,Cincinnati Bengals,0,0,0,10,193,2,0,0,0
2024-10-06,Baltimore Ravens,Cincinnati Bengals,Tee Higgins,Cincinnati Bengals,0,0,0,9,83,2,0,0,0
2024-10-06,Baltimore Ravens,Cincinnati Bengals,Andrei Iosivas,Cincinnati Bengals,0,0,0,1,39,0,0,0,0
2024-10-06,Baltimore Ravens,Cincinnati Bengals,Mike Gesicki,Cincinnati Bengals,0,0,0,2,31,0,0,0,0
2024-10-06,Baltimore Ravens,Cincinnati Bengals,Erick All,Cincinnati Bengals,0,0,0,2,10,0,0,0,0
