Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-10-06,Baltimore Ravens,Cincinnati Bengals,1,8:54,Baltimore Ravens,Derrick Henry 1 yard rush (Justin Tucker kick),7,0
2024-10-06,Baltimore Ravens,Cincinnati Bengals,2,13:44,Cincinnati Bengals,Tee Higgins 11 yard pass from Joe Burrow (Evan McPherson kick),7,7
2024-10-06,Baltimore Ravens,Cincinnati Bengals,2,8:09,Baltimore Ravens,Rashod Bateman 16 yard pass from Lamar Jackson (Justin Tucker kick),14,7
2024-10-06,Baltimore Ravens,Cincinnati Bengals,2,5:47,Cincinnati Bengals,"Safety, Derrick Henry tackled in end zone by Sam Hubbard",14,9
2024-10-06,Baltimore Ravens,Cincinnati Bengals,2,0:09,Cincinnati Bengals,Ja'Marr Chase 41 yard pass from Joe Burrow (Chase Brown run),14,17
2024-10-06,Baltimore Ravens,Cincinnati Bengals,3,8:51,Cincinnati Bengals,Tee Higgins 5 yard pass from Joe Burrow (Evan McPherson kick),14,24
2024-10-06,Baltimore Ravens,Cincinnati Bengals,3,6:38,Baltimore Ravens,Isaiah Likely 1 yard pass from Lamar Jackson (Justin Tucker kick),21,24
2024-10-06,Baltimore Ravens,Cincinnati Bengals,4,14:19,Cincinnati Bengals,Chase Brown 4 yard pass from Joe Burrow (Evan McPherson kick),21,31
2024-10-06,Baltimore Ravens,Cincinnati Bengals,4,9:05,Baltimore Ravens,Charlie Kolar 2 yard pass from Lamar Jackson (Justin Tucker kick),28,31
2024-10-06,Baltimore Ravens,Cincinnati Bengals,4,8:54,Cincinnati Bengals,Ja'Marr Chase 70 yard pass from Joe Burrow (Evan McPherson kick),28,38
2024-10-06,Baltimore Ravens,Cincinnati Bengals,4,5:24,Baltimore Ravens,Isaiah Likely 6 yard pass from Lamar Jackson (Justin Tucker kick),35,38
2024-10-06,Baltimore Ravens,Cincinnati Bengals,4,1:35,Baltimore Ravens,Justin Tucker 56 yard field goal,38,38
2024-10-06,Baltimore Ravens,Cincinnati Bengals,OT,3:33,Baltimore Ravens,Justin Tucker 24 yard field goal,41,38
