Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-06,Buffalo Bills,Houston Texans,Josh Allen,Buffalo Bills,131,1,0,0,0,0,54,0,0
2024-10-06,Buffalo Bills,Houston Texans,James Cook,Buffalo Bills,0,0,0,2,17,0,82,1,0
2024-10-06,Buffalo Bills,Houston Texans,Ty Johnson,Buffalo Bills,0,0,0,0,0,0,15,0,0
2024-10-06,Buffalo Bills,Houston Texans,Keon Coleman,Buffalo Bills,0,0,0,1,49,1,0,0,0
2024-10-06,Buffalo Bills,Houston Texans,Dalton Kincaid,Buffalo Bills,0,0,0,2,34,0,0,0,0
2024-10-06,Buffalo Bills,Houston Texans,Mack Hollins,Buffalo Bills,0,0,0,2,27,0,0,0,0
2024-10-06,Buffalo Bills,Houston Texans,Ray Davis,Buffalo Bills,0,0,0,1,4,0,0,0,0
2024-10-06,Buffalo Bills,Houston Texans,Marquez Valdes-Scantling,Buffalo Bills,0,0,0,0,0,0,0,0,0
2024-10-06,Buffalo Bills,Houston Texans,Curtis Samuel,Buffalo Bills,0,0,0,1,0,0,-1,0,0
2024-10-06,Buffalo Bills,Houston Texans,C.J. Stroud,Houston Texans,331,1,1,0,0,0,27,0,1
2024-10-06,Buffalo Bills,Houston Texans,Cam Akers,Houston Texans,0,0,0,2,5,0,42,1,0
2024-10-06,Buffalo Bills,Houston Texans,Dare Ogunbowale,Houston Texans,0,0,0,6,57,0,30,0,0
2024-10-06,Buffalo Bills,Houston Texans,Stefon Diggs,Houston Texans,0,0,0,6,82,0,0,0,0
2024-10-06,Buffalo Bills,Houston Texans,Nico Collins,Houston Texans,0,0,0,2,78,1,0,0,0
2024-10-06,Buffalo Bills,Houston Texans,Dalton Schultz,Houston Texans,0,0,0,4,34,0,0,0,0
2024-10-06,Buffalo Bills,Houston Texans,Xavier Hutchinson,Houston Texans,0,0,0,2,31,0,0,0,0
2024-10-06,Buffalo Bills,Houston Texans,Cade Stover,Houston Texans,0,0,0,2,6,0,0,0,0
2024-10-06,Buffalo Bills,Houston Texans,Tank Dell,Houston Texans,0,0,0,4,38,0,-5,0,0
