Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-06,Carolina Panthers,Chicago Bears,Andy Dalton,Carolina Panthers,136,0,1,0,0,0,3,0,0
2024-10-06,Carolina Panthers,Chicago Bears,Bryce Young,Carolina Panthers,58,0,0,0,0,0,8,0,0
2024-10-06,Carolina Panthers,Chicago Bears,Chuba Hubbard,Carolina Panthers,0,0,0,4,-2,0,97,1,1
2024-10-06,Carolina Panthers,Chicago Bears,Miles Sanders,Carolina Panthers,0,0,0,2,27,0,6,0,0
2024-10-06,Carolina Panthers,Chicago Bears,Diontae Johnson,Carolina Panthers,0,0,0,3,23,0,6,0,0
2024-10-06,Carolina Panthers,Chicago Bears,Jalen Coker,Carolina Panthers,0,0,0,4,68,0,0,0,0
2024-10-06,Carolina Panthers,Chicago Bears,Jonathan Mingo,Carolina Panthers,0,0,0,2,37,0,0,0,0
2024-10-06,Carolina Panthers,Chicago Bears,David Moore,Carolina Panthers,0,0,0,2,13,0,0,0,0
2024-10-06,Carolina Panthers,Chicago Bears,Ja'Tavion Sanders,Carolina Panthers,0,0,0,3,13,0,0,0,0
2024-10-06,Carolina Panthers,Chicago Bears,Xavier Legette,Carolina Panthers,0,0,0,1,8,0,0,0,0
2024-10-06,Carolina Panthers,Chicago Bears,Tommy Tremble,Carolina Panthers,0,0,0,1,7,0,0,0,1
2024-10-06,Carolina Panthers,Chicago Bears,Caleb Williams,Chicago Bears,304,2,0,0,0,0,34,0,0
2024-10-06,Carolina Panthers,Chicago Bears,D'Andre Swift,Chicago Bears,0,0,0,2,47,0,73,1,0
2024-10-06,Carolina Panthers,Chicago Bears,Roschon Johnson,Chicago Bears,0,0,0,0,0,0,25,2,0
2024-10-06,Carolina Panthers,Chicago Bears,D.J. Moore,Chicago Bears,0,0,0,5,105,2,0,0,0
2024-10-06,Carolina Panthers,Chicago Bears,Cole Kmet,Chicago Bears,0,0,0,3,57,0,0,0,0
2024-10-06,Carolina Panthers,Chicago Bears,Rome Odunze,Chicago Bears,0,0,0,5,40,0,0,0,0
2024-10-06,Carolina Panthers,Chicago Bears,Keenan Allen,Chicago Bears,0,0,0,3,33,0,0,0,0
2024-10-06,Carolina Panthers,Chicago Bears,Gerald Everett,Chicago Bears,0,0,0,2,22,0,0,0,0
2024-10-06,Carolina Panthers,Chicago Bears,Tyson Bagent,Chicago Bears,0,0,0,0,0,0,-4,0,0
