Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-06,Cleveland Browns,Washington Commanders,Deshaun Watson,Cleveland Browns,125,1,0,0,0,0,14,0,1
2024-10-06,Cleveland Browns,Washington Commanders,Jameis Winston,Cleveland Browns,16,0,0,0,0,0,-3,0,0
2024-10-06,Cleveland Browns,Washington Commanders,Jerome Ford,Cleveland Browns,0,0,0,3,2,0,47,0,0
2024-10-06,Cleveland Browns,Washington Commanders,D'Onta Foreman,Cleveland Browns,0,0,0,1,16,0,44,0,0
2024-10-06,Cleveland Browns,Washington Commanders,Pierre Strong,Cleveland Browns,0,0,0,0,0,0,2,0,0
2024-10-06,Cleveland Browns,Washington Commanders,Amari Cooper,Cleveland Browns,0,0,0,4,60,0,0,0,0
2024-10-06,Cleveland Browns,Washington Commanders,Jordan Akins,Cleveland Browns,0,0,0,3,22,1,0,0,0
2024-10-06,Cleveland Browns,Washington Commanders,Jerry Jeudy,Cleveland Browns,0,0,0,1,16,0,0,0,0
2024-10-06,Cleveland Browns,Washington Commanders,David Njoku,Cleveland Browns,0,0,0,1,14,0,0,0,0
2024-10-06,Cleveland Browns,Washington Commanders,Elijah Moore,Cleveland Browns,0,0,0,3,11,0,0,0,0
2024-10-06,Cleveland Browns,Washington Commanders,Jayden Daniels,Washington Commanders,238,1,1,0,0,0,82,0,0
2024-10-06,Cleveland Browns,Washington Commanders,Marcus Mariota,Washington Commanders,-2,0,0,0,0,0,2,0,0
2024-10-06,Cleveland Browns,Washington Commanders,Austin Ekeler,Washington Commanders,0,0,0,2,30,0,67,0,0
2024-10-06,Cleveland Browns,Washington Commanders,Jeremy McNichols,Washington Commanders,0,0,0,0,0,0,44,1,0
2024-10-06,Cleveland Browns,Washington Commanders,Brian Robinson Jr.,Washington Commanders,0,0,0,0,0,0,18,2,0
2024-10-06,Cleveland Browns,Washington Commanders,Terry McLaurin,Washington Commanders,0,0,0,4,112,0,2,0,1
2024-10-06,Cleveland Browns,Washington Commanders,Dyami Brown,Washington Commanders,0,0,0,2,57,1,0,0,0
2024-10-06,Cleveland Browns,Washington Commanders,Luke McCaffrey,Washington Commanders,0,0,0,3,19,0,0,0,0
2024-10-06,Cleveland Browns,Washington Commanders,Zach Ertz,Washington Commanders,0,0,0,2,10,0,0,0,0
2024-10-06,Cleveland Browns,Washington Commanders,Olamide Zaccheaus,Washington Commanders,0,0,0,1,10,0,0,0,0
2024-10-06,Cleveland Browns,Washington Commanders,Brycen Tremayne,Washington Commanders,0,0,0,1,-2,0,0,0,0
