Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-06,Dallas Cowboys,Pittsburgh Steelers,Dak Prescott,Dallas Cowboys,352,2,2,0,0,0,3,0,1
2024-10-06,Dallas Cowboys,Pittsburgh Steelers,Rico Dowdle,Dallas Cowboys,0,0,0,2,27,1,87,0,0
2024-10-06,Dallas Cowboys,Pittsburgh Steelers,Ezekiel Elliott,Dallas Cowboys,0,0,0,0,0,0,17,0,0
2024-10-06,Dallas Cowboys,Pittsburgh Steelers,Hunter Luepke,Dallas Cowboys,0,0,0,1,18,0,6,0,0
2024-10-06,Dallas Cowboys,Pittsburgh Steelers,CeeDee Lamb,Dallas Cowboys,0,0,0,5,62,0,2,0,0
2024-10-06,Dallas Cowboys,Pittsburgh Steelers,Jalen Tolbert,Dallas Cowboys,0,0,0,7,87,1,0,0,0
2024-10-06,Dallas Cowboys,Pittsburgh Steelers,Jake Ferguson,Dallas Cowboys,0,0,0,6,70,0,0,0,0
2024-10-06,Dallas Cowboys,Pittsburgh Steelers,Brevyn Spann-Ford,Dallas Cowboys,0,0,0,2,20,0,0,0,0
2024-10-06,Dallas Cowboys,Pittsburgh Steelers,Jalen Brooks,Dallas Cowboys,0,0,0,1,10,0,0,0,0
2024-10-06,Dallas Cowboys,Pittsburgh Steelers,Luke Schoonmaker,Dallas Cowboys,0,0,0,1,8,0,0,0,0
2024-10-06,Dallas Cowboys,Pittsburgh Steelers,KaVontae Turpin,Dallas Cowboys,0,0,0,4,50,0,-6,0,0
2024-10-06,Dallas Cowboys,Pittsburgh Steelers,Justin Fields,Pittsburgh Steelers,131,2,0,0,0,0,27,0,0
2024-10-06,Dallas Cowboys,Pittsburgh Steelers,Kyle Allen,Pittsburgh Steelers,19,0,0,0,0,0,0,0,0
2024-10-06,Dallas Cowboys,Pittsburgh Steelers,Najee Harris,Pittsburgh Steelers,0,0,0,2,35,0,42,0,0
2024-10-06,Dallas Cowboys,Pittsburgh Steelers,Aaron Shampklin,Pittsburgh Steelers,0,0,0,0,0,0,14,0,0
2024-10-06,Dallas Cowboys,Pittsburgh Steelers,Jonathan Ward,Pittsburgh Steelers,0,0,0,0,0,0,9,0,0
2024-10-06,Dallas Cowboys,Pittsburgh Steelers,Van Jefferson,Pittsburgh Steelers,0,0,0,3,26,0,0,0,0
2024-10-06,Dallas Cowboys,Pittsburgh Steelers,George Pickens,Pittsburgh Steelers,0,0,0,3,26,0,0,0,0
2024-10-06,Dallas Cowboys,Pittsburgh Steelers,Connor Heyward,Pittsburgh Steelers,0,0,0,2,23,1,0,0,0
2024-10-06,Dallas Cowboys,Pittsburgh Steelers,Pat Freiermuth,Pittsburgh Steelers,0,0,0,3,22,1,0,0,1
2024-10-06,Dallas Cowboys,Pittsburgh Steelers,Brandon Johnson,Pittsburgh Steelers,0,0,0,1,9,0,0,0,0
2024-10-06,Dallas Cowboys,Pittsburgh Steelers,Calvin Austin III,Pittsburgh Steelers,0,0,0,1,6,0,0,0,0
2024-10-06,Dallas Cowboys,Pittsburgh Steelers,Darnell Washington,Pittsburgh Steelers,0,0,0,1,5,0,0,0,0
2024-10-06,Dallas Cowboys,Pittsburgh Steelers,Zach Frazier,Pittsburgh Steelers,0,0,0,0,-2,0,0,0,0
