Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-06,Green Bay Packers,Los Angeles Rams,Jordan Love,Green Bay Packers,224,2,1,0,0,0,10,0,0
2024-10-06,Green Bay Packers,Los Angeles Rams,Josh Jacobs,Green Bay Packers,0,0,0,1,21,0,73,1,0
2024-10-06,Green Bay Packers,Los Angeles Rams,Emanuel Wilson,Green Bay Packers,0,0,0,1,-9,0,24,0,0
2024-10-06,Green Bay Packers,Los Angeles Rams,Jayden Reed,Green Bay Packers,0,0,0,4,78,0,19,0,0
2024-10-06,Green Bay Packers,Los Angeles Rams,Tucker Kraft,Green Bay Packers,0,0,0,4,88,2,0,0,0
2024-10-06,Green Bay Packers,Los Angeles Rams,Dontayvion Wicks,Green Bay Packers,0,0,0,2,20,0,0,0,0
2024-10-06,Green Bay Packers,Los Angeles Rams,Malik Heath,Green Bay Packers,0,0,0,2,14,0,0,0,0
2024-10-06,Green Bay Packers,Los Angeles Rams,Bo Melton,Green Bay Packers,0,0,0,1,12,0,0,0,0
2024-10-06,Green Bay Packers,Los Angeles Rams,Matthew Stafford,Los Angeles Rams,260,1,1,0,0,0,0,0,0
2024-10-06,Green Bay Packers,Los Angeles Rams,Kyren Williams,Los Angeles Rams,0,0,0,1,3,0,102,1,1
2024-10-06,Green Bay Packers,Los Angeles Rams,Blake Corum,Los Angeles Rams,0,0,0,1,8,0,25,0,0
2024-10-06,Green Bay Packers,Los Angeles Rams,Tutu Atwell,Los Angeles Rams,0,0,0,6,58,0,7,0,0
2024-10-06,Green Bay Packers,Los Angeles Rams,Jordan Whittington,Los Angeles Rams,0,0,0,7,89,0,0,0,0
2024-10-06,Green Bay Packers,Los Angeles Rams,Colby Parkinson,Los Angeles Rams,0,0,0,7,52,0,0,0,0
2024-10-06,Green Bay Packers,Los Angeles Rams,Demarcus Robinson,Los Angeles Rams,0,0,0,3,28,1,0,0,0
2024-10-06,Green Bay Packers,Los Angeles Rams,Hunter Long,Los Angeles Rams,0,0,0,2,16,0,0,0,0
2024-10-06,Green Bay Packers,Los Angeles Rams,Xavier Smith,Los Angeles Rams,0,0,0,2,6,0,0,0,0
2024-10-06,Green Bay Packers,Los Angeles Rams,Davis Allen,Los Angeles Rams,0,0,0,0,0,0,0,0,0
