Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-06,Indianapolis Colts,Jacksonville Jaguars,Joe Flacco,Indianapolis Colts,359,3,0,0,0,0,22,0,1
2024-10-06,Indianapolis Colts,Jacksonville Jaguars,Adonai Mitchell,Indianapolis Colts,24,0,0,4,38,0,4,0,0
2024-10-06,Indianapolis Colts,Jacksonville Jaguars,Trey Sermon,Indianapolis Colts,0,0,0,6,25,0,38,1,0
2024-10-06,Indianapolis Colts,Jacksonville Jaguars,Tyler Goodson,Indianapolis Colts,0,0,0,3,31,0,26,0,0
2024-10-06,Indianapolis Colts,Jacksonville Jaguars,Ashton Dulin,Indianapolis Colts,0,0,0,0,0,0,9,0,0
2024-10-06,Indianapolis Colts,Jacksonville Jaguars,Alec Pierce,Indianapolis Colts,0,0,0,3,134,1,0,0,0
2024-10-06,Indianapolis Colts,Jacksonville Jaguars,Josh Downs,Indianapolis Colts,0,0,0,9,69,0,0,0,0
2024-10-06,Indianapolis Colts,Jacksonville Jaguars,Michael Pittman Jr.,Indianapolis Colts,0,0,0,5,37,1,0,0,0
2024-10-06,Indianapolis Colts,Jacksonville Jaguars,Mo Alie-Cox,Indianapolis Colts,0,0,0,2,37,1,0,0,0
2024-10-06,Indianapolis Colts,Jacksonville Jaguars,Will Mallory,Indianapolis Colts,0,0,0,1,7,0,0,0,0
2024-10-06,Indianapolis Colts,Jacksonville Jaguars,Andrew Ogletree,Indianapolis Colts,0,0,0,1,5,0,0,0,0
2024-10-06,Indianapolis Colts,Jacksonville Jaguars,Trevor Lawrence,Jacksonville Jaguars,371,2,1,0,0,0,4,0,0
2024-10-06,Indianapolis Colts,Jacksonville Jaguars,Tank Bigsby,Jacksonville Jaguars,0,0,0,1,28,0,101,2,0
2024-10-06,Indianapolis Colts,Jacksonville Jaguars,Travis Etienne,Jacksonville Jaguars,0,0,0,6,43,0,17,0,0
2024-10-06,Indianapolis Colts,Jacksonville Jaguars,Devin Duvernay,Jacksonville Jaguars,0,0,0,0,0,0,3,0,0
2024-10-06,Indianapolis Colts,Jacksonville Jaguars,D'Ernest Johnson,Jacksonville Jaguars,0,0,0,2,9,0,1,0,0
2024-10-06,Indianapolis Colts,Jacksonville Jaguars,Brian Thomas,Jacksonville Jaguars,0,0,0,5,122,1,0,0,0
2024-10-06,Indianapolis Colts,Jacksonville Jaguars,Christian Kirk,Jacksonville Jaguars,0,0,0,4,88,0,0,0,0
2024-10-06,Indianapolis Colts,Jacksonville Jaguars,Gabriel Davis,Jacksonville Jaguars,0,0,0,3,38,0,0,0,1
2024-10-06,Indianapolis Colts,Jacksonville Jaguars,Brenton Strange,Jacksonville Jaguars,0,0,0,4,24,1,0,0,0
2024-10-06,Indianapolis Colts,Jacksonville Jaguars,Luke Farrell,Jacksonville Jaguars,0,0,0,2,17,0,0,0,0
2024-10-06,Indianapolis Colts,Jacksonville Jaguars,Josiah Deguara,Jacksonville Jaguars,0,0,0,1,2,0,0,0,0
