Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-06,Las Vegas Raiders,Denver Broncos,Aidan O'Connell,Las Vegas Raiders,94,0,1,0,0,0,0,0,0
2024-10-06,Las Vegas Raiders,Denver Broncos,Gardner Minshew II,Las Vegas Raiders,137,1,2,0,0,0,22,0,0
2024-10-06,Las Vegas Raiders,Denver Broncos,Ameer Abdullah,Las Vegas Raiders,0,0,0,3,9,0,42,1,0
2024-10-06,Las Vegas Raiders,Denver Broncos,Alexander Mattison,Las Vegas Raiders,0,0,0,2,23,0,38,0,0
2024-10-06,Las Vegas Raiders,Denver Broncos,Tre Tucker,Las Vegas Raiders,0,0,0,2,18,0,8,0,0
2024-10-06,Las Vegas Raiders,Denver Broncos,DJ Turner,Las Vegas Raiders,0,0,0,1,12,0,5,0,0
2024-10-06,Las Vegas Raiders,Denver Broncos,Brock Bowers,Las Vegas Raiders,0,0,0,8,97,1,0,0,0
2024-10-06,Las Vegas Raiders,Denver Broncos,Jakobi Meyers,Las Vegas Raiders,0,0,0,6,72,0,0,0,0
2024-10-06,Las Vegas Raiders,Denver Broncos,Bo Nix,Denver Broncos,206,2,0,0,0,0,9,1,0
2024-10-06,Las Vegas Raiders,Denver Broncos,Javonte Williams,Denver Broncos,0,0,0,5,50,0,61,0,0
2024-10-06,Las Vegas Raiders,Denver Broncos,Jaleel McLaughlin,Denver Broncos,0,0,0,3,3,1,22,0,0
2024-10-06,Las Vegas Raiders,Denver Broncos,Marvin Mims,Denver Broncos,0,0,0,1,7,0,17,0,0
2024-10-06,Las Vegas Raiders,Denver Broncos,Lil'Jordan Humphrey,Denver Broncos,0,0,0,2,48,0,0,0,0
2024-10-06,Las Vegas Raiders,Denver Broncos,Courtland Sutton,Denver Broncos,0,0,0,2,32,0,0,0,0
2024-10-06,Las Vegas Raiders,Denver Broncos,Troy Franklin,Denver Broncos,0,0,0,1,20,0,0,0,0
2024-10-06,Las Vegas Raiders,Denver Broncos,Adam Trautman,Denver Broncos,0,0,0,1,19,0,0,0,0
2024-10-06,Las Vegas Raiders,Denver Broncos,Josh Reynolds,Denver Broncos,0,0,0,1,9,1,0,0,0
2024-10-06,Las Vegas Raiders,Denver Broncos,Nate Adkins,Denver Broncos,0,0,0,1,8,0,0,0,0
2024-10-06,Las Vegas Raiders,Denver Broncos,Lucas Krull,Denver Broncos,0,0,0,1,5,0,0,0,0
2024-10-06,Las Vegas Raiders,Denver Broncos,Michael Burton,Denver Broncos,0,0,0,1,5,0,0,0,0
