Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-06,Miami Dolphins,New England Patriots,Tyler Huntley,Miami Dolphins,194,0,1,0,0,0,7,0,0
2024-10-06,Miami Dolphins,New England Patriots,Jaylen Wright,Miami Dolphins,0,0,0,0,0,0,86,0,0
2024-10-06,Miami Dolphins,New England Patriots,Raheem Mostert,Miami Dolphins,0,0,0,2,18,0,80,0,0
2024-10-06,Miami Dolphins,New England Patriots,De'Von Achane,Miami Dolphins,0,0,0,1,-1,0,18,0,0
2024-10-06,Miami Dolphins,New England Patriots,Alec Ingold,Miami Dolphins,0,0,0,0,0,0,3,1,0
2024-10-06,Miami Dolphins,New England Patriots,Tyreek Hill,Miami Dolphins,0,0,0,6,69,0,0,0,0
2024-10-06,Miami Dolphins,New England Patriots,Jaylen Waddle,Miami Dolphins,0,0,0,4,46,0,0,0,0
2024-10-06,Miami Dolphins,New England Patriots,Jake Bailey,Miami Dolphins,0,0,0,0,0,0,0,0,1
2024-10-06,Miami Dolphins,New England Patriots,Durham Smythe,Miami Dolphins,0,0,0,0,0,0,0,0,0
2024-10-06,Miami Dolphins,New England Patriots,Odell Beckham Jr.,Miami Dolphins,0,0,0,0,0,0,0,0,0
2024-10-06,Miami Dolphins,New England Patriots,Jonnu Smith,Miami Dolphins,0,0,0,5,62,0,-1,0,0
2024-10-06,Miami Dolphins,New England Patriots,Jacoby Brissett,New England Patriots,160,0,0,0,0,0,10,0,0
2024-10-06,Miami Dolphins,New England Patriots,Rhamondre Stevenson,New England Patriots,0,0,0,4,3,0,89,1,0
2024-10-06,Miami Dolphins,New England Patriots,Antonio Gibson,New England Patriots,0,0,0,1,4,0,52,0,0
2024-10-06,Miami Dolphins,New England Patriots,Demario Douglas,New England Patriots,0,0,0,6,59,0,0,0,0
2024-10-06,Miami Dolphins,New England Patriots,Kayshon Boutte,New England Patriots,0,0,0,2,34,0,0,0,0
2024-10-06,Miami Dolphins,New England Patriots,Hunter Henry,New England Patriots,0,0,0,2,32,0,0,0,0
2024-10-06,Miami Dolphins,New England Patriots,Ja'Lynn Polk,New England Patriots,0,0,0,1,13,0,0,0,0
2024-10-06,Miami Dolphins,New England Patriots,Austin Hooper,New England Patriots,0,0,0,1,9,0,0,0,0
2024-10-06,Miami Dolphins,New England Patriots,Kendrick Bourne,New England Patriots,0,0,0,1,6,0,0,0,0
