Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-06,New York Giants,Seattle Seahawks,Daniel Jones,New York Giants,257,2,0,0,0,0,38,0,0
2024-10-06,New York Giants,Seattle Seahawks,Tyrone Tracy,New York Giants,0,0,0,1,1,0,129,0,0
2024-10-06,New York Giants,Seattle Seahawks,Eric Gray,New York Giants,0,0,0,3,50,0,4,0,1
2024-10-06,New York Giants,Seattle Seahawks,Wan'Dale Robinson,New York Giants,0,0,0,6,36,1,4,0,0
2024-10-06,New York Giants,Seattle Seahawks,Darius Slayton,New York Giants,0,0,0,8,122,1,0,0,0
2024-10-06,New York Giants,Seattle Seahawks,Theo Johnson,New York Giants,0,0,0,5,48,0,0,0,0
2024-10-06,New York Giants,Seattle Seahawks,Geno Smith,Seattle Seahawks,284,1,0,0,0,0,72,0,0
2024-10-06,New York Giants,Seattle Seahawks,Kenneth Walker III,Seattle Seahawks,0,0,0,7,57,0,19,0,0
2024-10-06,New York Giants,Seattle Seahawks,Zach Charbonnet,Seattle Seahawks,0,0,0,3,19,0,11,0,0
2024-10-06,New York Giants,Seattle Seahawks,Tyler Lockett,Seattle Seahawks,0,0,0,4,75,0,0,0,0
2024-10-06,New York Giants,Seattle Seahawks,D.K. Metcalf,Seattle Seahawks,0,0,0,4,55,0,0,0,1
2024-10-06,New York Giants,Seattle Seahawks,Jaxon Smith-Njigba,Seattle Seahawks,0,0,0,4,31,1,0,0,0
2024-10-06,New York Giants,Seattle Seahawks,Noah Fant,Seattle Seahawks,0,0,0,3,24,0,0,0,0
2024-10-06,New York Giants,Seattle Seahawks,AJ Barner,Seattle Seahawks,0,0,0,1,13,0,0,0,0
2024-10-06,New York Giants,Seattle Seahawks,Pharaoh Brown,Seattle Seahawks,0,0,0,1,7,0,0,0,0
2024-10-06,New York Giants,Seattle Seahawks,Jake Bobo,Seattle Seahawks,0,0,0,1,3,0,0,0,0
