Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-06,New York Jets,Minnesota Vikings,Aaron Rodgers,New York Jets,244,2,3,0,0,0,0,0,0
2024-10-06,New York Jets,Minnesota Vikings,Breece Hall,New York Jets,0,0,0,3,14,0,23,0,0
2024-10-06,New York Jets,Minnesota Vikings,Braelon Allen,New York Jets,0,0,0,1,15,0,13,0,0
2024-10-06,New York Jets,Minnesota Vikings,Garrett Wilson,New York Jets,0,0,0,13,101,1,0,0,0
2024-10-06,New York Jets,Minnesota Vikings,Tyler Conklin,New York Jets,0,0,0,6,55,0,0,0,0
2024-10-06,New York Jets,Minnesota Vikings,Allen Lazard,New York Jets,0,0,0,4,34,1,0,0,0
2024-10-06,New York Jets,Minnesota Vikings,Mike Williams,New York Jets,0,0,0,2,25,0,0,0,0
2024-10-06,New York Jets,Minnesota Vikings,Sam Darnold,Minnesota Vikings,179,0,1,0,0,0,11,0,1
2024-10-06,New York Jets,Minnesota Vikings,Nick Mullens,Minnesota Vikings,24,0,0,0,0,0,0,0,0
2024-10-06,New York Jets,Minnesota Vikings,Ty Chandler,Minnesota Vikings,0,0,0,2,9,0,30,0,0
2024-10-06,New York Jets,Minnesota Vikings,Aaron Jones,Minnesota Vikings,0,0,0,1,24,0,29,0,0
2024-10-06,New York Jets,Minnesota Vikings,C.J. Ham,Minnesota Vikings,0,0,0,0,0,0,10,1,0
2024-10-06,New York Jets,Minnesota Vikings,Myles Gaskin,Minnesota Vikings,0,0,0,1,11,0,2,0,0
2024-10-06,New York Jets,Minnesota Vikings,Justin Jefferson,Minnesota Vikings,0,0,0,6,92,0,0,0,0
2024-10-06,New York Jets,Minnesota Vikings,Jordan Addison,Minnesota Vikings,0,0,0,3,36,0,0,0,0
2024-10-06,New York Jets,Minnesota Vikings,Johnny Mundt,Minnesota Vikings,0,0,0,2,31,0,0,0,0
