Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-07,New Orleans Saints,Kansas City Chiefs,Derek Carr,New Orleans Saints,165,2,1,0,0,0,0,0,0
2024-10-07,New Orleans Saints,Kansas City Chiefs,Jake Haener,New Orleans Saints,17,0,0,0,0,0,11,0,0
2024-10-07,New Orleans Saints,Kansas City Chiefs,Alvin Kamara,New Orleans Saints,0,0,0,6,40,0,26,0,0
2024-10-07,New Orleans Saints,Kansas City Chiefs,Jamaal Williams,New Orleans Saints,0,0,0,0,0,0,9,0,0
2024-10-07,New Orleans Saints,Kansas City Chiefs,Rashid Shaheed,New Orleans Saints,0,0,0,4,86,1,0,0,0
2024-10-07,New Orleans Saints,Kansas City Chiefs,Juwan Johnson,New Orleans Saints,0,0,0,5,31,0,0,0,0
2024-10-07,New Orleans Saints,Kansas City Chiefs,Foster Moreau,New Orleans Saints,0,0,0,2,13,1,0,0,0
2024-10-07,New Orleans Saints,Kansas City Chiefs,Chris Olave,New Orleans Saints,0,0,0,2,10,0,0,0,0
2024-10-07,New Orleans Saints,Kansas City Chiefs,Mason Tipton,New Orleans Saints,0,0,0,1,2,0,0,0,0
2024-10-07,New Orleans Saints,Kansas City Chiefs,Patrick Mahomes,Kansas City Chiefs,331,0,1,0,0,0,22,0,0
2024-10-07,New Orleans Saints,Kansas City Chiefs,Kareem Hunt,Kansas City Chiefs,0,0,0,1,15,0,102,1,0
2024-10-07,New Orleans Saints,Kansas City Chiefs,Carson Steele,Kansas City Chiefs,0,0,0,0,0,0,12,0,0
2024-10-07,New Orleans Saints,Kansas City Chiefs,Xavier Worthy,Kansas City Chiefs,0,0,0,3,25,0,3,1,0
2024-10-07,New Orleans Saints,Kansas City Chiefs,JuJu Smith-Schuster,Kansas City Chiefs,0,0,0,7,130,0,0,0,0
2024-10-07,New Orleans Saints,Kansas City Chiefs,Travis Kelce,Kansas City Chiefs,0,0,0,9,70,0,0,0,0
2024-10-07,New Orleans Saints,Kansas City Chiefs,Mecole Hardman,Kansas City Chiefs,0,0,0,4,33,0,0,0,0
2024-10-07,New Orleans Saints,Kansas City Chiefs,Noah Gray,Kansas City Chiefs,0,0,0,2,29,0,0,0,0
2024-10-07,New Orleans Saints,Kansas City Chiefs,Samaje Perine,Kansas City Chiefs,0,0,0,1,24,0,0,0,0
2024-10-07,New Orleans Saints,Kansas City Chiefs,Jody Fortson,Kansas City Chiefs,0,0,0,1,5,0,0,0,0
