Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-10,San Francisco 49ers,Seattle Seahawks,Brock Purdy,San Francisco 49ers,255,3,0,0,0,0,19,0,0
2024-10-10,San Francisco 49ers,Seattle Seahawks,Isaac Guerendo,San Francisco 49ers,0,0,0,0,0,0,99,0,0
2024-10-10,San Francisco 49ers,Seattle Seahawks,Jordan Mason,San Francisco 49ers,0,0,0,1,9,0,73,0,0
2024-10-10,San Francisco 49ers,Seattle Seahawks,Patrick Taylor,San Francisco 49ers,0,0,0,1,12,0,16,0,0
2024-10-10,San Francisco 49ers,Seattle Seahawks,Deebo Samuel,San Francisco 49ers,0,0,0,3,102,1,15,0,0
2024-10-10,San Francisco 49ers,Seattle Seahawks,Kyle Juszczyk,San Francisco 49ers,0,0,0,3,10,0,6,1,0
2024-10-10,San Francisco 49ers,Seattle Seahawks,George Kittle,San Francisco 49ers,0,0,0,5,58,2,0,0,0
2024-10-10,San Francisco 49ers,Seattle Seahawks,Brandon Aiyuk,San Francisco 49ers,0,0,0,2,37,0,0,0,0
2024-10-10,San Francisco 49ers,Seattle Seahawks,Jauan Jennings,San Francisco 49ers,0,0,0,3,27,0,0,0,0
2024-10-10,San Francisco 49ers,Seattle Seahawks,Geno Smith,Seattle Seahawks,312,1,2,0,0,0,0,0,0
2024-10-10,San Francisco 49ers,Seattle Seahawks,Kenneth Walker III,Seattle Seahawks,0,0,0,8,37,0,32,1,0
2024-10-10,San Francisco 49ers,Seattle Seahawks,Zach Charbonnet,Seattle Seahawks,0,0,0,1,15,0,20,0,0
2024-10-10,San Francisco 49ers,Seattle Seahawks,Tyler Lockett,Seattle Seahawks,0,0,0,4,65,1,0,0,0
2024-10-10,San Francisco 49ers,Seattle Seahawks,Noah Fant,Seattle Seahawks,0,0,0,6,63,0,0,0,0
2024-10-10,San Francisco 49ers,Seattle Seahawks,Jaxon Smith-Njigba,Seattle Seahawks,0,0,0,5,53,0,0,0,0
2024-10-10,San Francisco 49ers,Seattle Seahawks,D.K. Metcalf,Seattle Seahawks,0,0,0,3,48,0,0,0,0
2024-10-10,San Francisco 49ers,Seattle Seahawks,Jake Bobo,Seattle Seahawks,0,0,0,2,18,0,0,0,0
2024-10-10,San Francisco 49ers,Seattle Seahawks,AJ Barner,Seattle Seahawks,0,0,0,1,13,0,0,0,0
