Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-10-10,San Francisco 49ers,Seattle Seahawks,1,3:58,San Francisco 49ers,Matthew Wright 25 yard field goal,3,0
2024-10-10,San Francisco 49ers,Seattle Seahawks,2,13:30,San Francisco 49ers,Deebo Samuel 76 yard pass from Brock Purdy (Matthew Wright kick),10,0
2024-10-10,San Francisco 49ers,Seattle Seahawks,2,11:47,San Francisco 49ers,Matthew Wright 41 yard field goal,13,0
2024-10-10,San Francisco 49ers,Seattle Seahawks,2,2:33,San Francisco 49ers,Matthew Wright 35 yard field goal,16,0
2024-10-10,San Francisco 49ers,Seattle Seahawks,2,0:00,Seattle Seahawks,Jason Myers 20 yard field goal,16,3
2024-10-10,San Francisco 49ers,Seattle Seahawks,3,10:07,San Francisco 49ers,George Kittle 10 yard pass from Brock Purdy (Matthew Wright kick),23,3
2024-10-10,San Francisco 49ers,Seattle Seahawks,3,9:54,Seattle Seahawks,Laviska Shenault Jr. 97 yard kickoff return (Jason Myers kick),23,10
2024-10-10,San Francisco 49ers,Seattle Seahawks,3,1:24,Seattle Seahawks,Kenneth Walker III 1 yard rush (Jason Myers kick),23,17
2024-10-10,San Francisco 49ers,Seattle Seahawks,4,6:20,San Francisco 49ers,George Kittle 9 yard pass from Brock Purdy (run failed),29,17
2024-10-10,San Francisco 49ers,Seattle Seahawks,4,1:44,Seattle Seahawks,Tyler Lockett 9 yard pass from Geno Smith (Jason Myers kick),29,24
2024-10-10,San Francisco 49ers,Seattle Seahawks,4,1:17,San Francisco 49ers,Kyle Juszczyk 6 yard rush (Matthew Wright kick),36,24
