Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-13,Arizona Cardinals,Green Bay Packers,Kyler Murray,Arizona Cardinals,214,1,0,0,0,0,14,0,1
2024-10-13,Arizona Cardinals,Green Bay Packers,Trey Benson,Arizona Cardinals,0,0,0,0,0,0,26,0,0
2024-10-13,Arizona Cardinals,Green Bay Packers,Emari Demercado,Arizona Cardinals,0,0,0,5,39,0,25,0,0
2024-10-13,Arizona Cardinals,Green Bay Packers,James Conner,Arizona Cardinals,0,0,0,4,22,0,24,0,1
2024-10-13,Arizona Cardinals,Green Bay Packers,Trey McBride,Arizona Cardinals,0,0,0,8,96,0,0,0,0
2024-10-13,Arizona Cardinals,Green Bay Packers,Greg Dortch,Arizona Cardinals,0,0,0,3,36,0,0,0,1
2024-10-13,Arizona Cardinals,Green Bay Packers,Michael Wilson,Arizona Cardinals,0,0,0,2,21,1,0,0,0
2024-10-13,Arizona Cardinals,Green Bay Packers,Marvin Harrison Jr.,Arizona Cardinals,0,0,0,0,0,0,0,0,0
2024-10-13,Arizona Cardinals,Green Bay Packers,Xavier Weaver,Arizona Cardinals,0,0,0,0,0,0,0,0,0
2024-10-13,Arizona Cardinals,Green Bay Packers,Jordan Love,Green Bay Packers,258,4,1,0,0,0,13,0,0
2024-10-13,Arizona Cardinals,Green Bay Packers,Josh Jacobs,Green Bay Packers,0,0,0,3,28,0,62,0,0
2024-10-13,Arizona Cardinals,Green Bay Packers,Emanuel Wilson,Green Bay Packers,0,0,0,1,19,0,54,0,0
2024-10-13,Arizona Cardinals,Green Bay Packers,Bo Melton,Green Bay Packers,0,0,0,1,6,0,27,0,0
2024-10-13,Arizona Cardinals,Green Bay Packers,Chris Brooks,Green Bay Packers,0,0,0,0,0,0,21,0,0
2024-10-13,Arizona Cardinals,Green Bay Packers,Tucker Kraft,Green Bay Packers,0,0,0,2,13,0,2,0,0
2024-10-13,Arizona Cardinals,Green Bay Packers,Christian Watson,Green Bay Packers,0,0,0,3,68,1,0,0,0
2024-10-13,Arizona Cardinals,Green Bay Packers,Romeo Doubs,Green Bay Packers,0,0,0,3,49,2,0,0,0
2024-10-13,Arizona Cardinals,Green Bay Packers,Ben Sims,Green Bay Packers,0,0,0,2,38,0,0,0,0
2024-10-13,Arizona Cardinals,Green Bay Packers,Jayden Reed,Green Bay Packers,0,0,0,6,28,1,0,0,0
2024-10-13,Arizona Cardinals,Green Bay Packers,Dontayvion Wicks,Green Bay Packers,0,0,0,1,9,0,0,0,0
2024-10-13,Arizona Cardinals,Green Bay Packers,Andrew Beck,Green Bay Packers,0,0,0,0,0,0,0,0,0
