Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-13,Atlanta Falcons,Carolina Panthers,Kirk Cousins,Atlanta Falcons,225,1,0,0,0,0,-5,0,0
2024-10-13,Atlanta Falcons,Carolina Panthers,Tyler Allgeier,Atlanta Falcons,0,0,0,1,3,0,105,1,0
2024-10-13,Atlanta Falcons,Carolina Panthers,Bijan Robinson,Atlanta Falcons,0,0,0,3,10,0,95,2,0
2024-10-13,Atlanta Falcons,Carolina Panthers,Ray-Ray McCloud,Atlanta Falcons,0,0,0,3,30,0,3,0,1
2024-10-13,Atlanta Falcons,Carolina Panthers,Drake London,Atlanta Falcons,0,0,0,6,74,1,0,0,0
2024-10-13,Atlanta Falcons,Carolina Panthers,Kyle Pitts,Atlanta Falcons,0,0,0,3,70,0,0,0,0
2024-10-13,Atlanta Falcons,Carolina Panthers,Darnell Mooney,Atlanta Falcons,0,0,0,3,38,0,0,0,0
2024-10-13,Atlanta Falcons,Carolina Panthers,Andy Dalton,Carolina Panthers,221,2,2,0,0,0,21,0,0
2024-10-13,Atlanta Falcons,Carolina Panthers,Chuba Hubbard,Carolina Panthers,0,0,0,5,11,0,92,0,0
2024-10-13,Atlanta Falcons,Carolina Panthers,Miles Sanders,Carolina Panthers,0,0,0,1,12,0,1,0,0
2024-10-13,Atlanta Falcons,Carolina Panthers,Diontae Johnson,Carolina Panthers,0,0,0,6,78,1,0,0,0
2024-10-13,Atlanta Falcons,Carolina Panthers,Ja'Tavion Sanders,Carolina Panthers,0,0,0,5,49,0,0,0,0
2024-10-13,Atlanta Falcons,Carolina Panthers,Jalen Coker,Carolina Panthers,0,0,0,3,30,0,0,0,0
2024-10-13,Atlanta Falcons,Carolina Panthers,Xavier Legette,Carolina Panthers,0,0,0,3,23,1,0,0,0
2024-10-13,Atlanta Falcons,Carolina Panthers,David Moore,Carolina Panthers,0,0,0,2,17,0,0,0,0
2024-10-13,Atlanta Falcons,Carolina Panthers,Jonathan Mingo,Carolina Panthers,0,0,0,1,1,0,0,0,0
2024-10-13,Atlanta Falcons,Carolina Panthers,Ian Thomas,Carolina Panthers,0,0,0,0,0,0,0,0,0
