Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-10-13,Atlanta Falcons,Carolina Panthers,1,5:56,Carolina Panthers,Diontae Johnson 10 yard pass from Andy Dalton (Eddy Piñeiro kick),0,7
2024-10-13,Atlanta Falcons,Carolina Panthers,1,0:38,Atlanta Falcons,Bijan Robinson 5 yard rush (Younghoe Koo kick),7,7
2024-10-13,Atlanta Falcons,Carolina Panthers,2,8:48,Carolina Panthers,Eddy Piñeiro 24 yard field goal,7,10
2024-10-13,Atlanta Falcons,Carolina Panthers,2,6:03,Atlanta Falcons,Bijan Robinson 7 yard rush (Tyler Allgeier run),15,10
2024-10-13,Atlanta Falcons,Carolina Panthers,2,1:42,Atlanta Falcons,Drake London 3 yard pass from Kirk Cousins (Younghoe Koo kick),22,10
2024-10-13,Atlanta Falcons,Carolina Panthers,2,0:07,Carolina Panthers,Xavier Legette 7 yard pass from Andy Dalton (Eddy Piñeiro kick),22,17
2024-10-13,Atlanta Falcons,Carolina Panthers,3,10:04,Atlanta Falcons,Younghoe Koo 21 yard field goal,25,17
2024-10-13,Atlanta Falcons,Carolina Panthers,3,4:51,Carolina Panthers,Eddy Piñeiro 40 yard field goal,25,20
2024-10-13,Atlanta Falcons,Carolina Panthers,3,0:07,Atlanta Falcons,Younghoe Koo 31 yard field goal,28,20
2024-10-13,Atlanta Falcons,Carolina Panthers,4,5:38,Atlanta Falcons,Tyler Allgeier 2 yard rush (Younghoe Koo kick),35,20
2024-10-13,Atlanta Falcons,Carolina Panthers,4,2:11,Atlanta Falcons,Younghoe Koo 35 yard field goal,38,20
