Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-13,Cincinnati Bengals,New York Giants,Joe Burrow,Cincinnati Bengals,208,0,0,0,0,0,55,1,0
2024-10-13,Cincinnati Bengals,New York Giants,Chase Brown,Cincinnati Bengals,0,0,0,2,11,0,53,1,0
2024-10-13,Cincinnati Bengals,New York Giants,Zack Moss,Cincinnati Bengals,0,0,0,1,2,0,13,0,1
2024-10-13,Cincinnati Bengals,New York Giants,Tee Higgins,Cincinnati Bengals,0,0,0,7,77,0,0,0,0
2024-10-13,Cincinnati Bengals,New York Giants,Ja'Marr Chase,Cincinnati Bengals,0,0,0,5,72,0,0,0,0
2024-10-13,Cincinnati Bengals,New York Giants,Andrei Iosivas,Cincinnati Bengals,0,0,0,2,36,0,0,0,0
2024-10-13,Cincinnati Bengals,New York Giants,Erick All,Cincinnati Bengals,0,0,0,2,10,0,0,0,0
2024-10-13,Cincinnati Bengals,New York Giants,Daniel Jones,New York Giants,205,0,1,0,0,0,56,0,0
2024-10-13,Cincinnati Bengals,New York Giants,Tyrone Tracy,New York Giants,0,0,0,6,57,0,50,1,0
2024-10-13,Cincinnati Bengals,New York Giants,Eric Gray,New York Giants,0,0,0,0,0,0,13,0,0
2024-10-13,Cincinnati Bengals,New York Giants,Darius Slayton,New York Giants,0,0,0,6,57,0,0,0,0
2024-10-13,Cincinnati Bengals,New York Giants,Wan'Dale Robinson,New York Giants,0,0,0,5,50,0,0,0,0
2024-10-13,Cincinnati Bengals,New York Giants,Theo Johnson,New York Giants,0,0,0,3,30,0,0,0,0
2024-10-13,Cincinnati Bengals,New York Giants,Jalin Hyatt,New York Giants,0,0,0,1,6,0,0,0,0
2024-10-13,Cincinnati Bengals,New York Giants,Isaiah Hodgins,New York Giants,0,0,0,1,5,0,0,0,0
