Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-13,Cleveland Browns,Philadelphia Eagles,Deshaun Watson,Cleveland Browns,168,0,0,0,0,0,17,0,0
2024-10-13,Cleveland Browns,Philadelphia Eagles,Pierre Strong,Cleveland Browns,0,0,0,2,35,0,43,0,0
2024-10-13,Cleveland Browns,Philadelphia Eagles,D'Onta Foreman,Cleveland Browns,0,0,0,2,16,0,31,0,0
2024-10-13,Cleveland Browns,Philadelphia Eagles,Jerome Ford,Cleveland Browns,0,0,0,0,0,0,14,0,0
2024-10-13,Cleveland Browns,Philadelphia Eagles,Amari Cooper,Cleveland Browns,0,0,0,4,42,0,0,0,0
2024-10-13,Cleveland Browns,Philadelphia Eagles,Jerry Jeudy,Cleveland Browns,0,0,0,1,35,0,0,0,0
2024-10-13,Cleveland Browns,Philadelphia Eagles,David Njoku,Cleveland Browns,0,0,0,5,31,0,0,0,0
2024-10-13,Cleveland Browns,Philadelphia Eagles,Jaelon Darden,Cleveland Browns,0,0,0,1,6,0,0,0,0
2024-10-13,Cleveland Browns,Philadelphia Eagles,Elijah Moore,Cleveland Browns,0,0,0,1,3,0,0,0,0
2024-10-13,Cleveland Browns,Philadelphia Eagles,Cedric Tillman,Cleveland Browns,0,0,0,0,0,0,-5,0,0
2024-10-13,Cleveland Browns,Philadelphia Eagles,Jalen Hurts,Philadelphia Eagles,264,2,0,0,0,0,33,0,0
2024-10-13,Cleveland Browns,Philadelphia Eagles,Saquon Barkley,Philadelphia Eagles,0,0,0,2,7,0,47,0,0
2024-10-13,Cleveland Browns,Philadelphia Eagles,Kenneth Gainwell,Philadelphia Eagles,0,0,0,0,0,0,23,0,0
2024-10-13,Cleveland Browns,Philadelphia Eagles,Jahan Dotson,Philadelphia Eagles,0,0,0,1,10,0,13,0,0
2024-10-13,Cleveland Browns,Philadelphia Eagles,A.J. Brown,Philadelphia Eagles,0,0,0,6,116,1,0,0,0
2024-10-13,Cleveland Browns,Philadelphia Eagles,Grant Calcaterra,Philadelphia Eagles,0,0,0,4,67,0,0,0,0
2024-10-13,Cleveland Browns,Philadelphia Eagles,DeVonta Smith,Philadelphia Eagles,0,0,0,3,64,1,0,0,0
2024-10-13,Cleveland Browns,Philadelphia Eagles,Dallas Goedert,Philadelphia Eagles,0,0,0,0,0,0,0,0,0
