Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-13,Detroit Lions,Dallas Cowboys,Jared Goff,Detroit Lions,315,3,0,0,0,0,5,0,0
2024-10-13,Detroit Lions,Dallas Cowboys,Hendon Hooker,Detroit Lions,19,0,0,0,0,0,-1,0,0
2024-10-13,Detroit Lions,Dallas Cowboys,David Montgomery,Detroit Lions,0,0,0,1,0,0,80,2,0
2024-10-13,Detroit Lions,Dallas Cowboys,Jahmyr Gibbs,Detroit Lions,0,0,0,3,28,0,63,0,0
2024-10-13,Detroit Lions,Dallas Cowboys,Craig Reynolds,Detroit Lions,0,0,0,0,0,0,21,0,0
2024-10-13,Detroit Lions,Dallas Cowboys,Jameson Williams,Detroit Lions,0,0,0,3,76,1,11,0,0
2024-10-13,Detroit Lions,Dallas Cowboys,Sione Vaki,Detroit Lions,0,0,0,0,0,0,5,0,0
2024-10-13,Detroit Lions,Dallas Cowboys,Kalif Raymond,Detroit Lions,0,0,0,4,73,0,0,0,0
2024-10-13,Detroit Lions,Dallas Cowboys,Tim Patrick,Detroit Lions,0,0,0,3,68,0,0,0,0
2024-10-13,Detroit Lions,Dallas Cowboys,Sam LaPorta,Detroit Lions,0,0,0,1,52,1,0,0,0
2024-10-13,Detroit Lions,Dallas Cowboys,Amon-Ra St. Brown,Detroit Lions,0,0,0,4,37,1,0,0,0
2024-10-13,Detroit Lions,Dallas Cowboys,Brock Wright,Detroit Lions,0,0,0,0,0,0,0,0,0
2024-10-13,Detroit Lions,Dallas Cowboys,Allen Robinson,Detroit Lions,0,0,0,0,0,0,0,0,0
2024-10-13,Detroit Lions,Dallas Cowboys,Taylor Decker,Detroit Lions,0,0,0,0,0,0,0,0,0
2024-10-13,Detroit Lions,Dallas Cowboys,Dak Prescott,Dallas Cowboys,178,0,2,0,0,0,1,0,0
2024-10-13,Detroit Lions,Dallas Cowboys,Cooper Rush,Dallas Cowboys,46,0,1,0,0,0,2,0,0
2024-10-13,Detroit Lions,Dallas Cowboys,Rico Dowdle,Dallas Cowboys,0,0,0,5,30,0,25,0,0
2024-10-13,Detroit Lions,Dallas Cowboys,Ezekiel Elliott,Dallas Cowboys,0,0,0,0,0,0,17,0,0
2024-10-13,Detroit Lions,Dallas Cowboys,KaVontae Turpin,Dallas Cowboys,0,0,0,4,24,0,6,0,1
2024-10-13,Detroit Lions,Dallas Cowboys,CeeDee Lamb,Dallas Cowboys,0,0,0,7,89,0,2,0,0
2024-10-13,Detroit Lions,Dallas Cowboys,Jalen Tolbert,Dallas Cowboys,0,0,0,4,43,0,0,0,0
2024-10-13,Detroit Lions,Dallas Cowboys,Jalen Brooks,Dallas Cowboys,0,0,0,1,15,0,0,0,0
2024-10-13,Detroit Lions,Dallas Cowboys,Ryan Flournoy,Dallas Cowboys,0,0,0,1,12,0,0,0,1
2024-10-13,Detroit Lions,Dallas Cowboys,Jake Ferguson,Dallas Cowboys,0,0,0,3,11,0,0,0,0
