Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-10-13,Detroit Lions,Dallas Cowboys,1,11:21,Dallas Cowboys,Brandon Aubrey 34 yard field goal,0,3
2024-10-13,Detroit Lions,Dallas Cowboys,1,9:15,Detroit Lions,David Montgomery 16 yard rush (Jake Bates kick),7,3
2024-10-13,Detroit Lions,Dallas Cowboys,2,13:28,Detroit Lions,Jake Bates 40 yard field goal,10,3
2024-10-13,Detroit Lions,Dallas Cowboys,2,11:50,Detroit Lions,Sam LaPorta 52 yard pass from Jared Goff (Jake Bates kick),17,3
2024-10-13,Detroit Lions,Dallas Cowboys,2,3:57,Detroit Lions,Jake Bates 48 yard field goal,20,3
2024-10-13,Detroit Lions,Dallas Cowboys,2,0:36,Detroit Lions,David Montgomery 1 yard rush (Jake Bates kick),27,3
2024-10-13,Detroit Lions,Dallas Cowboys,2,0:08,Dallas Cowboys,Brandon Aubrey 47 yard field goal,27,6
2024-10-13,Detroit Lions,Dallas Cowboys,3,12:35,Detroit Lions,Jameson Williams 37 yard pass from Jared Goff (Jake Bates kick),34,6
2024-10-13,Detroit Lions,Dallas Cowboys,3,8:48,Dallas Cowboys,Brandon Aubrey 50 yard field goal,34,9
2024-10-13,Detroit Lions,Dallas Cowboys,3,5:26,Detroit Lions,Jake Bates 33 yard field goal,37,9
2024-10-13,Detroit Lions,Dallas Cowboys,4,14:12,Detroit Lions,Jake Bates 33 yard field goal,40,9
2024-10-13,Detroit Lions,Dallas Cowboys,4,13:18,Detroit Lions,Amon-Ra St. Brown 4 yard pass from Jared Goff (Jake Bates kick),47,9
