Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-13,Houston Texans,New England Patriots,C.J. Stroud,Houston Texans,192,3,1,0,0,0,7,0,0
2024-10-13,Houston Texans,New England Patriots,Davis Mills,Houston Texans,0,0,0,0,0,0,0,0,0
2024-10-13,Houston Texans,New England Patriots,Joe Mixon,Houston Texans,0,0,0,2,30,1,102,1,0
2024-10-13,Houston Texans,New England Patriots,Dameon Pierce,Houston Texans,0,0,0,1,1,0,76,1,0
2024-10-13,Houston Texans,New England Patriots,Dare Ogunbowale,Houston Texans,0,0,0,0,0,0,8,0,0
2024-10-13,Houston Texans,New England Patriots,Stefon Diggs,Houston Texans,0,0,0,6,77,1,0,0,0
2024-10-13,Houston Texans,New England Patriots,Tank Dell,Houston Texans,0,0,0,7,57,1,0,0,0
2024-10-13,Houston Texans,New England Patriots,Dalton Schultz,Houston Texans,0,0,0,4,27,0,0,0,0
2024-10-13,Houston Texans,New England Patriots,Xavier Hutchinson,Houston Texans,0,0,0,0,0,0,0,0,0
2024-10-13,Houston Texans,New England Patriots,Cade Stover,Houston Texans,0,0,0,0,0,0,0,0,0
2024-10-13,Houston Texans,New England Patriots,Cam Akers,Houston Texans,0,0,0,0,0,0,-1,0,0
2024-10-13,Houston Texans,New England Patriots,Drake Maye,New England Patriots,243,3,2,0,0,0,38,0,1
2024-10-13,Houston Texans,New England Patriots,Antonio Gibson,New England Patriots,0,0,0,3,24,0,19,0,0
2024-10-13,Houston Texans,New England Patriots,Terrell Jennings,New England Patriots,0,0,0,0,0,0,13,0,0
2024-10-13,Houston Texans,New England Patriots,Jamycal Hasty,New England Patriots,0,0,0,1,9,0,12,0,0
2024-10-13,Houston Texans,New England Patriots,Demario Douglas,New England Patriots,0,0,0,6,92,1,0,0,0
2024-10-13,Houston Texans,New England Patriots,Kayshon Boutte,New England Patriots,0,0,0,3,59,1,0,0,0
2024-10-13,Houston Texans,New England Patriots,Hunter Henry,New England Patriots,0,0,0,3,41,1,0,0,0
2024-10-13,Houston Texans,New England Patriots,Kendrick Bourne,New England Patriots,0,0,0,2,9,0,0,0,0
2024-10-13,Houston Texans,New England Patriots,Austin Hooper,New England Patriots,0,0,0,1,5,0,0,0,1
2024-10-13,Houston Texans,New England Patriots,Ja'Lynn Polk,New England Patriots,0,0,0,1,4,0,0,0,0
