Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-10-13,Houston Texans,New England Patriots,1,9:13,Houston Texans,Tank Dell 2 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),7,0
2024-10-13,Houston Texans,New England Patriots,1,3:13,Houston Texans,Joe Mixon 10 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),14,0
2024-10-13,Houston Texans,New England Patriots,2,0:11,New England Patriots,Kayshon Boutte 40 yard pass from Drake Maye (Joey Slye kick),14,7
2024-10-13,Houston Texans,New England Patriots,3,13:28,Houston Texans,Stefon Diggs 10 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),21,7
2024-10-13,Houston Texans,New England Patriots,3,6:56,Houston Texans,Ka'imi Fairbairn 39 yard field goal,24,7
2024-10-13,Houston Texans,New England Patriots,3,5:22,Houston Texans,Ka'imi Fairbairn 46 yard field goal,27,7
2024-10-13,Houston Texans,New England Patriots,3,1:00,New England Patriots,Hunter Henry 6 yard pass from Drake Maye (Joey Slye kick),27,14
2024-10-13,Houston Texans,New England Patriots,4,13:14,Houston Texans,Joe Mixon 20 yard rush (Ka'imi Fairbairn kick),34,14
2024-10-13,Houston Texans,New England Patriots,4,9:24,New England Patriots,Demario Douglas 35 yard pass from Drake Maye (Joey Slye kick),34,21
2024-10-13,Houston Texans,New England Patriots,4,7:47,Houston Texans,Dameon Pierce 54 yard rush (Ka'imi Fairbairn kick),41,21
