Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-13,Indianapolis Colts,Tennessee Titans,Joe Flacco,Indianapolis Colts,189,2,1,0,0,0,1,0,0
2024-10-13,Indianapolis Colts,Tennessee Titans,Tyler Goodson,Indianapolis Colts,0,0,0,4,14,0,51,0,0
2024-10-13,Indianapolis Colts,Tennessee Titans,Trey Sermon,Indianapolis Colts,0,0,0,0,0,0,29,0,0
2024-10-13,Indianapolis Colts,Tennessee Titans,Mo Alie-Cox,Indianapolis Colts,0,0,0,4,41,0,0,0,0
2024-10-13,Indianapolis Colts,Tennessee Titans,Michael Pittman Jr.,Indianapolis Colts,0,0,0,3,35,1,0,0,0
2024-10-13,Indianapolis Colts,Tennessee Titans,Andrew Ogletree,Indianapolis Colts,0,0,0,2,24,0,0,0,0
2024-10-13,Indianapolis Colts,Tennessee Titans,Adonai Mitchell,Indianapolis Colts,0,0,0,2,9,0,0,0,0
2024-10-13,Indianapolis Colts,Tennessee Titans,Ashton Dulin,Indianapolis Colts,0,0,0,0,0,0,0,0,0
2024-10-13,Indianapolis Colts,Tennessee Titans,Kylen Granson,Indianapolis Colts,0,0,0,0,0,0,0,0,0
2024-10-13,Indianapolis Colts,Tennessee Titans,Will Mallory,Indianapolis Colts,0,0,0,0,0,0,0,0,0
2024-10-13,Indianapolis Colts,Tennessee Titans,Alec Pierce,Indianapolis Colts,0,0,0,0,0,0,0,0,0
2024-10-13,Indianapolis Colts,Tennessee Titans,Josh Downs,Indianapolis Colts,0,0,0,7,66,1,-1,0,0
2024-10-13,Indianapolis Colts,Tennessee Titans,Will Levis,Tennessee Titans,95,1,1,0,0,0,15,0,0
2024-10-13,Indianapolis Colts,Tennessee Titans,Tony Pollard,Tennessee Titans,0,0,0,3,-5,0,93,1,0
2024-10-13,Indianapolis Colts,Tennessee Titans,Tyjae Spears,Tennessee Titans,0,0,0,0,0,0,27,0,0
2024-10-13,Indianapolis Colts,Tennessee Titans,Calvin Ridley,Tennessee Titans,0,0,0,0,0,0,9,0,0
2024-10-13,Indianapolis Colts,Tennessee Titans,Julius Chestnut,Tennessee Titans,0,0,0,0,0,0,2,0,0
2024-10-13,Indianapolis Colts,Tennessee Titans,DeAndre Hopkins,Tennessee Titans,0,0,0,4,54,0,0,0,0
2024-10-13,Indianapolis Colts,Tennessee Titans,Tyler Boyd,Tennessee Titans,0,0,0,3,19,0,0,0,0
2024-10-13,Indianapolis Colts,Tennessee Titans,Treylon Burks,Tennessee Titans,0,0,0,1,10,0,0,0,0
2024-10-13,Indianapolis Colts,Tennessee Titans,Nick Westbrook-Ikhine,Tennessee Titans,0,0,0,1,9,1,0,0,0
2024-10-13,Indianapolis Colts,Tennessee Titans,Chigoziem Okonkwo,Tennessee Titans,0,0,0,3,6,0,0,0,0
2024-10-13,Indianapolis Colts,Tennessee Titans,Josh Whyle,Tennessee Titans,0,0,0,1,2,0,0,0,0
