Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-13,Jacksonville Jaguars,Chicago Bears,Trevor Lawrence,Jacksonville Jaguars,234,2,1,0,0,0,17,0,0
2024-10-13,Jacksonville Jaguars,Chicago Bears,Mac Jones,Jacksonville Jaguars,6,0,0,0,0,0,0,0,0
2024-10-13,Jacksonville Jaguars,Chicago Bears,D'Ernest Johnson,Jacksonville Jaguars,0,0,0,2,16,0,28,0,0
2024-10-13,Jacksonville Jaguars,Chicago Bears,Tank Bigsby,Jacksonville Jaguars,0,0,0,0,0,0,24,0,0
2024-10-13,Jacksonville Jaguars,Chicago Bears,Evan Engram,Jacksonville Jaguars,0,0,0,10,102,0,0,0,1
2024-10-13,Jacksonville Jaguars,Chicago Bears,Gabriel Davis,Jacksonville Jaguars,0,0,0,5,45,2,0,0,0
2024-10-13,Jacksonville Jaguars,Chicago Bears,Christian Kirk,Jacksonville Jaguars,0,0,0,3,39,0,0,0,0
2024-10-13,Jacksonville Jaguars,Chicago Bears,Brian Thomas,Jacksonville Jaguars,0,0,0,3,27,0,0,0,0
2024-10-13,Jacksonville Jaguars,Chicago Bears,Brenton Strange,Jacksonville Jaguars,0,0,0,1,11,0,0,0,0
2024-10-13,Jacksonville Jaguars,Chicago Bears,Travis Etienne,Jacksonville Jaguars,0,0,0,0,0,0,-1,0,0
2024-10-13,Jacksonville Jaguars,Chicago Bears,Caleb Williams,Chicago Bears,226,4,1,0,0,0,56,0,0
2024-10-13,Jacksonville Jaguars,Chicago Bears,D'Andre Swift,Chicago Bears,0,0,0,4,28,0,91,1,0
2024-10-13,Jacksonville Jaguars,Chicago Bears,Roschon Johnson,Chicago Bears,0,0,0,2,25,0,8,0,0
2024-10-13,Jacksonville Jaguars,Chicago Bears,Cole Kmet,Chicago Bears,0,0,0,5,70,2,0,0,0
2024-10-13,Jacksonville Jaguars,Chicago Bears,Keenan Allen,Chicago Bears,0,0,0,5,41,2,0,0,0
2024-10-13,Jacksonville Jaguars,Chicago Bears,Rome Odunze,Chicago Bears,0,0,0,2,40,0,0,0,0
2024-10-13,Jacksonville Jaguars,Chicago Bears,D.J. Moore,Chicago Bears,0,0,0,4,20,0,0,0,0
2024-10-13,Jacksonville Jaguars,Chicago Bears,Marcedes Lewis,Chicago Bears,0,0,0,1,2,0,0,0,0
2024-10-13,Jacksonville Jaguars,Chicago Bears,Gerald Everett,Chicago Bears,0,0,0,0,0,0,0,0,0
2024-10-13,Jacksonville Jaguars,Chicago Bears,Tyson Bagent,Chicago Bears,0,0,0,0,0,0,-3,0,0
