Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-13,Los Angeles Chargers,Denver Broncos,Justin Herbert,Los Angeles Chargers,237,1,0,0,0,0,2,0,0
2024-10-13,Los Angeles Chargers,Denver Broncos,J.K. Dobbins,Los Angeles Chargers,0,0,0,2,6,0,96,1,0
2024-10-13,Los Angeles Chargers,Denver Broncos,Derius Davis,Los Angeles Chargers,0,0,0,1,8,0,14,0,0
2024-10-13,Los Angeles Chargers,Denver Broncos,Kimani Vidal,Los Angeles Chargers,0,0,0,2,40,1,11,0,0
2024-10-13,Los Angeles Chargers,Denver Broncos,Hassan Haskins,Los Angeles Chargers,0,0,0,0,0,0,5,0,0
2024-10-13,Los Angeles Chargers,Denver Broncos,Simi Fehoko,Los Angeles Chargers,0,0,0,2,44,0,0,0,0
2024-10-13,Los Angeles Chargers,Denver Broncos,Ladd McConkey,Los Angeles Chargers,0,0,0,4,43,0,0,0,0
2024-10-13,Los Angeles Chargers,Denver Broncos,Josh Palmer,Los Angeles Chargers,0,0,0,2,38,0,0,0,0
2024-10-13,Los Angeles Chargers,Denver Broncos,Will Dissly,Los Angeles Chargers,0,0,0,4,26,0,0,0,0
2024-10-13,Los Angeles Chargers,Denver Broncos,Quentin Johnston,Los Angeles Chargers,0,0,0,3,22,0,0,0,0
2024-10-13,Los Angeles Chargers,Denver Broncos,Stone Smartt,Los Angeles Chargers,0,0,0,1,10,0,0,0,0
2024-10-13,Los Angeles Chargers,Denver Broncos,Bo Nix,Denver Broncos,216,2,1,0,0,0,61,0,0
2024-10-13,Los Angeles Chargers,Denver Broncos,Javonte Williams,Denver Broncos,0,0,0,3,13,0,23,0,1
2024-10-13,Los Angeles Chargers,Denver Broncos,Audric Estime,Denver Broncos,0,0,0,0,0,0,13,0,0
2024-10-13,Los Angeles Chargers,Denver Broncos,Jaleel McLaughlin,Denver Broncos,0,0,0,2,17,0,8,0,0
2024-10-13,Los Angeles Chargers,Denver Broncos,Troy Franklin,Denver Broncos,0,0,0,2,31,1,5,0,0
2024-10-13,Los Angeles Chargers,Denver Broncos,Devaughn Vele,Denver Broncos,0,0,0,4,78,0,0,0,0
2024-10-13,Los Angeles Chargers,Denver Broncos,Courtland Sutton,Denver Broncos,0,0,0,4,53,1,0,0,0
2024-10-13,Los Angeles Chargers,Denver Broncos,Lucas Krull,Denver Broncos,0,0,0,2,11,0,0,0,0
2024-10-13,Los Angeles Chargers,Denver Broncos,Lil'Jordan Humphrey,Denver Broncos,0,0,0,1,8,0,0,0,0
2024-10-13,Los Angeles Chargers,Denver Broncos,Nate Adkins,Denver Broncos,0,0,0,1,5,0,0,0,0
2024-10-13,Los Angeles Chargers,Denver Broncos,Marvin Mims,Denver Broncos,0,0,0,0,0,0,0,0,0
