Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-13,Pittsburgh Steelers,Las Vegas Raiders,Justin Fields,Pittsburgh Steelers,145,0,0,0,0,0,59,2,0
2024-10-13,Pittsburgh Steelers,Las Vegas Raiders,Najee Harris,Pittsburgh Steelers,0,0,0,2,16,0,106,1,0
2024-10-13,Pittsburgh Steelers,Las Vegas Raiders,Jonathan Ward,Pittsburgh Steelers,0,0,0,0,0,0,13,0,0
2024-10-13,Pittsburgh Steelers,Las Vegas Raiders,Jaylen Warren,Pittsburgh Steelers,0,0,0,3,11,0,7,0,0
2024-10-13,Pittsburgh Steelers,Las Vegas Raiders,George Pickens,Pittsburgh Steelers,0,0,0,3,53,0,0,0,0
2024-10-13,Pittsburgh Steelers,Las Vegas Raiders,Calvin Austin III,Pittsburgh Steelers,0,0,0,2,36,0,0,0,0
2024-10-13,Pittsburgh Steelers,Las Vegas Raiders,Pat Freiermuth,Pittsburgh Steelers,0,0,0,2,16,0,0,0,0
2024-10-13,Pittsburgh Steelers,Las Vegas Raiders,Darnell Washington,Pittsburgh Steelers,0,0,0,1,9,0,0,0,0
2024-10-13,Pittsburgh Steelers,Las Vegas Raiders,Connor Heyward,Pittsburgh Steelers,0,0,0,1,4,0,0,0,0
2024-10-13,Pittsburgh Steelers,Las Vegas Raiders,Aaron Shampklin,Pittsburgh Steelers,0,0,0,0,0,0,-2,0,0
2024-10-13,Pittsburgh Steelers,Las Vegas Raiders,Aidan O'Connell,Las Vegas Raiders,227,1,1,0,0,0,0,0,0
2024-10-13,Pittsburgh Steelers,Las Vegas Raiders,Alexander Mattison,Las Vegas Raiders,0,0,0,5,32,0,33,1,0
2024-10-13,Pittsburgh Steelers,Las Vegas Raiders,Ameer Abdullah,Las Vegas Raiders,0,0,0,3,14,0,24,0,1
2024-10-13,Pittsburgh Steelers,Las Vegas Raiders,Brock Bowers,Las Vegas Raiders,0,0,0,9,71,0,0,0,0
2024-10-13,Pittsburgh Steelers,Las Vegas Raiders,DJ Turner,Las Vegas Raiders,0,0,0,2,37,0,0,0,0
2024-10-13,Pittsburgh Steelers,Las Vegas Raiders,Alex Bachman,Las Vegas Raiders,0,0,0,3,31,0,0,0,0
2024-10-13,Pittsburgh Steelers,Las Vegas Raiders,Harrison Bryant,Las Vegas Raiders,0,0,0,3,24,0,0,0,0
2024-10-13,Pittsburgh Steelers,Las Vegas Raiders,Kristian Wilkerson,Las Vegas Raiders,0,0,0,2,18,1,0,0,0
2024-10-13,Pittsburgh Steelers,Las Vegas Raiders,Dylan Laube,Las Vegas Raiders,0,0,0,0,0,0,0,0,1
2024-10-13,Pittsburgh Steelers,Las Vegas Raiders,Tre Tucker,Las Vegas Raiders,0,0,0,0,0,0,0,0,0
