Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,Baker Mayfield,Tampa Bay Buccaneers,325,4,3,0,0,0,29,0,0
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,Sean Tucker,Tampa Bay Buccaneers,0,0,0,3,56,1,136,1,0
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,Bucky Irving,Tampa Bay Buccaneers,0,0,0,2,24,0,81,1,0
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,Sterling Shepard,Tampa Bay Buccaneers,0,0,0,3,23,0,31,0,0
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,Chris Godwin,Tampa Bay Buccaneers,0,0,0,11,125,2,0,0,0
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,Ryan Miller,Tampa Bay Buccaneers,0,0,0,1,39,0,0,0,0
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,Mike Evans,Tampa Bay Buccaneers,0,0,0,2,34,0,0,0,0
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,Cade Otton,Tampa Bay Buccaneers,0,0,0,2,15,1,0,0,0
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,Tristan Wirfs,Tampa Bay Buccaneers,0,0,0,0,9,0,0,0,0
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,Jalen McMillan,Tampa Bay Buccaneers,0,0,0,0,0,0,0,0,0
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,Spencer Rattler,New Orleans Saints,243,1,2,0,0,0,27,0,0
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,Alvin Kamara,New Orleans Saints,0,0,0,5,24,0,40,1,0
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,Jamaal Williams,New Orleans Saints,0,0,0,0,0,0,7,0,0
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,Jordan Mims,New Orleans Saints,0,0,0,2,13,0,5,0,0
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,Rashid Shaheed,New Orleans Saints,0,0,0,1,11,0,2,0,0
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,Foster Moreau,New Orleans Saints,0,0,0,2,54,0,0,0,0
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,Juwan Johnson,New Orleans Saints,0,0,0,3,48,0,0,0,0
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,Bub Means,New Orleans Saints,0,0,0,5,45,1,0,0,0
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,Cedrick Wilson Jr.,New Orleans Saints,0,0,0,2,28,0,0,0,0
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,Mason Tipton,New Orleans Saints,0,0,0,1,15,0,0,0,0
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,Chris Olave,New Orleans Saints,0,0,0,1,5,0,0,0,1
