Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,1,10:05,Tampa Bay Buccaneers,Chris Godwin 4 yard pass from Baker Mayfield (Chase McLaughlin kick),7,0
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,1,8:42,Tampa Bay Buccaneers,Antoine Winfield Jr. 58 yard fumble return (Chase McLaughlin kick),14,0
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,1,4:01,Tampa Bay Buccaneers,Chase McLaughlin 26 yard field goal,17,0
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,2,13:43,New Orleans Saints,Blake Grupe 42 yard field goal,17,3
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,2,13:04,New Orleans Saints,Rashid Shaheed 54 yard punt return (Blake Grupe kick),17,10
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,2,9:00,New Orleans Saints,Blake Grupe 29 yard field goal,17,13
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,2,8:37,New Orleans Saints,Bub Means 10 yard pass from Spencer Rattler (Blake Grupe kick),17,20
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,2,5:39,Tampa Bay Buccaneers,Sean Tucker 36 yard pass from Baker Mayfield (Chase McLaughlin kick),24,20
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,2,2:47,New Orleans Saints,Alvin Kamara 4 yard rush (Blake Grupe kick),24,27
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,3,4:25,Tampa Bay Buccaneers,Chris Godwin 55 yard pass from Baker Mayfield (Chase McLaughlin kick),31,27
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,4,12:34,Tampa Bay Buccaneers,Cade Otton 8 yard pass from Baker Mayfield (pass failed),37,27
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,4,5:33,Tampa Bay Buccaneers,Bucky Irving 1 yard rush (Chase McLaughlin kick),44,27
2024-10-13,Tampa Bay Buccaneers,New Orleans Saints,4,1:55,Tampa Bay Buccaneers,Sean Tucker 5 yard rush (Chase McLaughlin kick),51,27
