Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-13,Washington Commanders,Baltimore Ravens,Jayden Daniels,Washington Commanders,269,2,0,0,0,0,22,0,0
2024-10-13,Washington Commanders,Baltimore Ravens,Austin Ekeler,Washington Commanders,0,0,0,4,47,0,21,0,0
2024-10-13,Washington Commanders,Baltimore Ravens,Jeremy McNichols,Washington Commanders,0,0,0,0,0,0,9,0,0
2024-10-13,Washington Commanders,Baltimore Ravens,Zach Ertz,Washington Commanders,0,0,0,4,68,0,0,0,0
2024-10-13,Washington Commanders,Baltimore Ravens,Noah Brown,Washington Commanders,0,0,0,4,58,0,0,0,0
2024-10-13,Washington Commanders,Baltimore Ravens,Terry McLaurin,Washington Commanders,0,0,0,6,53,2,0,0,0
2024-10-13,Washington Commanders,Baltimore Ravens,Olamide Zaccheaus,Washington Commanders,0,0,0,4,27,0,0,0,0
2024-10-13,Washington Commanders,Baltimore Ravens,Dyami Brown,Washington Commanders,0,0,0,1,11,0,0,0,0
2024-10-13,Washington Commanders,Baltimore Ravens,Luke McCaffrey,Washington Commanders,0,0,0,1,5,0,0,0,0
2024-10-13,Washington Commanders,Baltimore Ravens,Lamar Jackson,Baltimore Ravens,323,1,1,0,0,0,40,0,0
2024-10-13,Washington Commanders,Baltimore Ravens,Derrick Henry,Baltimore Ravens,0,0,0,0,0,0,132,2,0
2024-10-13,Washington Commanders,Baltimore Ravens,Zay Flowers,Baltimore Ravens,0,0,0,9,132,0,2,0,0
2024-10-13,Washington Commanders,Baltimore Ravens,Justice Hill,Baltimore Ravens,0,0,0,1,2,0,2,0,0
2024-10-13,Washington Commanders,Baltimore Ravens,Rashod Bateman,Baltimore Ravens,0,0,0,4,71,0,0,0,0
2024-10-13,Washington Commanders,Baltimore Ravens,Mark Andrews,Baltimore Ravens,0,0,0,3,66,1,0,0,0
2024-10-13,Washington Commanders,Baltimore Ravens,Isaiah Likely,Baltimore Ravens,0,0,0,2,27,0,0,0,0
2024-10-13,Washington Commanders,Baltimore Ravens,Nelson Agholor,Baltimore Ravens,0,0,0,1,25,0,0,0,0
