Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-10-13,Washington Commanders,Baltimore Ravens,1,9:11,Washington Commanders,Austin Seibert 42 yard field goal,3,0
2024-10-13,Washington Commanders,Baltimore Ravens,1,3:45,Baltimore Ravens,Justin Tucker 45 yard field goal,3,3
2024-10-13,Washington Commanders,Baltimore Ravens,2,7:55,Baltimore Ravens,Derrick Henry 3 yard rush (Justin Tucker kick),3,10
2024-10-13,Washington Commanders,Baltimore Ravens,2,4:16,Washington Commanders,Terry McLaurin 7 yard pass from Jayden Daniels (Austin Seibert kick),10,10
2024-10-13,Washington Commanders,Baltimore Ravens,2,0:53,Baltimore Ravens,Mark Andrews 13 yard pass from Lamar Jackson (Justin Tucker kick),10,17
2024-10-13,Washington Commanders,Baltimore Ravens,3,12:45,Washington Commanders,Austin Seibert 55 yard field goal,13,17
2024-10-13,Washington Commanders,Baltimore Ravens,3,8:19,Baltimore Ravens,Justin Tucker 32 yard field goal,13,20
2024-10-13,Washington Commanders,Baltimore Ravens,3,2:08,Baltimore Ravens,Derrick Henry 7 yard rush (Justin Tucker kick),13,27
2024-10-13,Washington Commanders,Baltimore Ravens,4,12:12,Washington Commanders,Terry McLaurin 6 yard pass from Jayden Daniels (Austin Seibert kick),20,27
2024-10-13,Washington Commanders,Baltimore Ravens,4,6:18,Baltimore Ravens,Justin Tucker 39 yard field goal,20,30
2024-10-13,Washington Commanders,Baltimore Ravens,4,2:48,Washington Commanders,Austin Seibert 49 yard field goal,23,30
