Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-14,Buffalo Bills,New York Jets,Josh Allen,Buffalo Bills,215,2,0,0,0,0,18,1,0
2024-10-14,Buffalo Bills,New York Jets,Ray Davis,Buffalo Bills,0,0,0,3,55,0,97,0,0
2024-10-14,Buffalo Bills,New York Jets,Ty Johnson,Buffalo Bills,0,0,0,0,0,0,34,0,0
2024-10-14,Buffalo Bills,New York Jets,Dalton Kincaid,Buffalo Bills,0,0,0,6,51,0,0,0,0
2024-10-14,Buffalo Bills,New York Jets,Curtis Samuel,Buffalo Bills,0,0,0,3,44,0,0,0,0
2024-10-14,Buffalo Bills,New York Jets,Keon Coleman,Buffalo Bills,0,0,0,3,26,0,0,0,0
2024-10-14,Buffalo Bills,New York Jets,Khalil Shakir,Buffalo Bills,0,0,0,2,19,0,0,0,0
2024-10-14,Buffalo Bills,New York Jets,Dawson Knox,Buffalo Bills,0,0,0,1,12,1,0,0,0
2024-10-14,Buffalo Bills,New York Jets,Mack Hollins,Buffalo Bills,0,0,0,1,8,1,0,0,0
2024-10-14,Buffalo Bills,New York Jets,Aaron Rodgers,New York Jets,294,2,1,0,0,0,0,0,0
2024-10-14,Buffalo Bills,New York Jets,Breece Hall,New York Jets,0,0,0,5,56,0,113,0,0
2024-10-14,Buffalo Bills,New York Jets,Braelon Allen,New York Jets,0,0,0,0,0,0,8,0,0
2024-10-14,Buffalo Bills,New York Jets,Allen Lazard,New York Jets,0,0,0,6,114,1,0,0,0
2024-10-14,Buffalo Bills,New York Jets,Garrett Wilson,New York Jets,0,0,0,8,107,1,0,0,0
2024-10-14,Buffalo Bills,New York Jets,Tyler Conklin,New York Jets,0,0,0,2,10,0,0,0,0
2024-10-14,Buffalo Bills,New York Jets,Jeremy Ruckert,New York Jets,0,0,0,2,7,0,0,0,0
2024-10-14,Buffalo Bills,New York Jets,Mike Williams,New York Jets,0,0,0,0,0,0,0,0,0
