Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-17,Denver Broncos,New Orleans Saints,Bo Nix,Denver Broncos,164,0,0,0,0,0,75,0,0
2024-10-17,Denver Broncos,New Orleans Saints,Javonte Williams,Denver Broncos,0,0,0,3,23,0,88,2,0
2024-10-17,Denver Broncos,New Orleans Saints,Jaleel McLaughlin,Denver Broncos,0,0,0,0,0,0,35,0,0
2024-10-17,Denver Broncos,New Orleans Saints,Audric Estime,Denver Broncos,0,0,0,0,0,0,29,0,1
2024-10-17,Denver Broncos,New Orleans Saints,Troy Franklin,Denver Broncos,0,0,0,5,50,0,0,0,0
2024-10-17,Denver Broncos,New Orleans Saints,Lucas Krull,Denver Broncos,0,0,0,3,41,0,0,0,0
2024-10-17,Denver Broncos,New Orleans Saints,Devaughn Vele,Denver Broncos,0,0,0,1,20,0,0,0,0
2024-10-17,Denver Broncos,New Orleans Saints,Marvin Mims,Denver Broncos,0,0,0,2,18,0,0,0,0
2024-10-17,Denver Broncos,New Orleans Saints,Lil'Jordan Humphrey,Denver Broncos,0,0,0,2,12,0,0,0,0
2024-10-17,Denver Broncos,New Orleans Saints,Adam Trautman,Denver Broncos,0,0,0,0,0,0,0,0,0
2024-10-17,Denver Broncos,New Orleans Saints,Jarrett Stidham,Denver Broncos,0,0,0,0,0,0,-2,0,0
2024-10-17,Denver Broncos,New Orleans Saints,Spencer Rattler,New Orleans Saints,172,0,0,0,0,0,34,0,2
2024-10-17,Denver Broncos,New Orleans Saints,Jake Haener,New Orleans Saints,38,1,0,0,0,0,0,0,0
2024-10-17,Denver Broncos,New Orleans Saints,Kendre Miller,New Orleans Saints,0,0,0,2,1,0,36,0,0
2024-10-17,Denver Broncos,New Orleans Saints,Jamaal Williams,New Orleans Saints,0,0,0,0,0,0,17,0,0
2024-10-17,Denver Broncos,New Orleans Saints,Alvin Kamara,New Orleans Saints,0,0,0,6,14,0,10,0,0
2024-10-17,Denver Broncos,New Orleans Saints,Cedrick Wilson Jr.,New Orleans Saints,0,0,0,6,57,1,0,0,0
2024-10-17,Denver Broncos,New Orleans Saints,Mason Tipton,New Orleans Saints,0,0,0,6,45,0,0,0,0
2024-10-17,Denver Broncos,New Orleans Saints,Foster Moreau,New Orleans Saints,0,0,0,2,38,0,0,0,0
2024-10-17,Denver Broncos,New Orleans Saints,Bub Means,New Orleans Saints,0,0,0,3,37,0,0,0,0
2024-10-17,Denver Broncos,New Orleans Saints,Juwan Johnson,New Orleans Saints,0,0,0,3,18,0,0,0,0
