Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-20,Carolina Panthers,Washington Commanders,Andy Dalton,Carolina Panthers,93,0,2,0,0,0,3,0,0
2024-10-20,Carolina Panthers,Washington Commanders,Bryce Young,Carolina Panthers,-4,0,0,0,0,0,0,0,0
2024-10-20,Carolina Panthers,Washington Commanders,Chuba Hubbard,Carolina Panthers,0,0,0,0,0,0,52,1,0
2024-10-20,Carolina Panthers,Washington Commanders,Miles Sanders,Carolina Panthers,0,0,0,1,-6,0,34,0,0
2024-10-20,Carolina Panthers,Washington Commanders,Xavier Legette,Carolina Panthers,0,0,0,2,3,0,6,0,0
2024-10-20,Carolina Panthers,Washington Commanders,Ja'Tavion Sanders,Carolina Panthers,0,0,0,6,61,0,0,0,0
2024-10-20,Carolina Panthers,Washington Commanders,Diontae Johnson,Carolina Panthers,0,0,0,1,17,0,0,0,0
2024-10-20,Carolina Panthers,Washington Commanders,Jalen Coker,Carolina Panthers,0,0,0,1,10,0,0,0,0
2024-10-20,Carolina Panthers,Washington Commanders,Ian Thomas,Carolina Panthers,0,0,0,2,4,0,0,0,0
2024-10-20,Carolina Panthers,Washington Commanders,Marcus Mariota,Washington Commanders,205,2,0,0,0,0,34,0,0
2024-10-20,Carolina Panthers,Washington Commanders,Jayden Daniels,Washington Commanders,6,0,0,0,0,0,50,0,0
2024-10-20,Carolina Panthers,Washington Commanders,Brian Robinson Jr.,Washington Commanders,0,0,0,0,0,0,71,1,0
2024-10-20,Carolina Panthers,Washington Commanders,Jeremy McNichols,Washington Commanders,0,0,0,0,0,0,42,0,0
2024-10-20,Carolina Panthers,Washington Commanders,Austin Ekeler,Washington Commanders,0,0,0,2,3,0,17,0,0
2024-10-20,Carolina Panthers,Washington Commanders,Terry McLaurin,Washington Commanders,0,0,0,6,98,0,0,0,0
2024-10-20,Carolina Panthers,Washington Commanders,Zach Ertz,Washington Commanders,0,0,0,4,40,1,0,0,0
2024-10-20,Carolina Panthers,Washington Commanders,Olamide Zaccheaus,Washington Commanders,0,0,0,4,25,0,0,0,0
2024-10-20,Carolina Panthers,Washington Commanders,Dyami Brown,Washington Commanders,0,0,0,1,23,0,0,0,0
2024-10-20,Carolina Panthers,Washington Commanders,Noah Brown,Washington Commanders,0,0,0,1,16,0,0,0,0
2024-10-20,Carolina Panthers,Washington Commanders,Ben Sinnott,Washington Commanders,0,0,0,2,6,1,0,0,0
