Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-20,Cincinnati Bengals,Cleveland Browns,Joe Burrow,Cincinnati Bengals,181,2,0,0,0,0,-3,0,0
2024-10-20,Cincinnati Bengals,Cleveland Browns,Chase Brown,Cincinnati Bengals,0,0,0,2,9,0,44,0,0
2024-10-20,Cincinnati Bengals,Cleveland Browns,Ja'Marr Chase,Cincinnati Bengals,0,0,0,5,55,1,11,0,0
2024-10-20,Cincinnati Bengals,Cleveland Browns,Zack Moss,Cincinnati Bengals,0,0,0,3,33,0,7,0,0
2024-10-20,Cincinnati Bengals,Cleveland Browns,Tee Higgins,Cincinnati Bengals,0,0,0,4,82,1,0,0,0
2024-10-20,Cincinnati Bengals,Cleveland Browns,Mike Gesicki,Cincinnati Bengals,0,0,0,1,2,0,0,0,0
2024-10-20,Cincinnati Bengals,Cleveland Browns,Erick All,Cincinnati Bengals,0,0,0,0,0,0,0,0,0
2024-10-20,Cincinnati Bengals,Cleveland Browns,Drew Sample,Cincinnati Bengals,0,0,0,0,0,0,0,0,0
2024-10-20,Cincinnati Bengals,Cleveland Browns,Andrei Iosivas,Cincinnati Bengals,0,0,0,0,0,0,0,0,0
2024-10-20,Cincinnati Bengals,Cleveland Browns,Tanner Hudson,Cincinnati Bengals,0,0,0,0,0,0,0,0,0
2024-10-20,Cincinnati Bengals,Cleveland Browns,Dorian Thompson-Robinson,Cleveland Browns,82,0,2,0,0,0,44,0,0
2024-10-20,Cincinnati Bengals,Cleveland Browns,Deshaun Watson,Cleveland Browns,128,0,0,0,0,0,0,0,0
2024-10-20,Cincinnati Bengals,Cleveland Browns,Jameis Winston,Cleveland Browns,67,1,0,0,0,0,0,0,0
2024-10-20,Cincinnati Bengals,Cleveland Browns,Nick Chubb,Cleveland Browns,0,0,0,1,10,0,22,1,0
2024-10-20,Cincinnati Bengals,Cleveland Browns,Pierre Strong,Cleveland Browns,0,0,0,1,9,0,6,0,0
2024-10-20,Cincinnati Bengals,Cleveland Browns,D'Onta Foreman,Cleveland Browns,0,0,0,0,0,0,5,0,0
2024-10-20,Cincinnati Bengals,Cleveland Browns,Cedric Tillman,Cleveland Browns,0,0,0,8,81,0,0,0,0
2024-10-20,Cincinnati Bengals,Cleveland Browns,David Njoku,Cleveland Browns,0,0,0,10,76,1,0,0,0
2024-10-20,Cincinnati Bengals,Cleveland Browns,Jordan Akins,Cleveland Browns,0,0,0,4,42,0,0,0,0
2024-10-20,Cincinnati Bengals,Cleveland Browns,Elijah Moore,Cleveland Browns,0,0,0,6,41,0,0,0,0
2024-10-20,Cincinnati Bengals,Cleveland Browns,Jerry Jeudy,Cleveland Browns,0,0,0,1,18,0,0,0,0
