Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-20,Detroit Lions,Minnesota Vikings,Jared Goff,Detroit Lions,280,2,0,0,0,0,-4,0,0
2024-10-20,Detroit Lions,Minnesota Vikings,Jahmyr Gibbs,Detroit Lions,0,0,0,4,44,0,116,2,0
2024-10-20,Detroit Lions,Minnesota Vikings,David Montgomery,Detroit Lions,0,0,0,3,39,0,31,0,1
2024-10-20,Detroit Lions,Minnesota Vikings,Jalen Reeves-Maybin,Detroit Lions,0,0,0,0,0,0,1,0,0
2024-10-20,Detroit Lions,Minnesota Vikings,Amon-Ra St. Brown,Detroit Lions,0,0,0,8,112,1,0,0,0
2024-10-20,Detroit Lions,Minnesota Vikings,Kalif Raymond,Detroit Lions,0,0,0,3,39,1,0,0,0
2024-10-20,Detroit Lions,Minnesota Vikings,Tim Patrick,Detroit Lions,0,0,0,2,25,0,0,0,0
2024-10-20,Detroit Lions,Minnesota Vikings,Sam LaPorta,Detroit Lions,0,0,0,1,25,0,0,0,0
2024-10-20,Detroit Lions,Minnesota Vikings,Jameson Williams,Detroit Lions,0,0,0,1,-4,0,0,0,0
2024-10-20,Detroit Lions,Minnesota Vikings,Sam Darnold,Minnesota Vikings,259,1,1,0,0,0,39,0,0
2024-10-20,Detroit Lions,Minnesota Vikings,Aaron Jones,Minnesota Vikings,0,0,0,3,23,0,93,1,0
2024-10-20,Detroit Lions,Minnesota Vikings,Ty Chandler,Minnesota Vikings,0,0,0,0,0,0,4,0,0
2024-10-20,Detroit Lions,Minnesota Vikings,Justin Jefferson,Minnesota Vikings,0,0,0,7,81,1,3,0,0
2024-10-20,Detroit Lions,Minnesota Vikings,Jalen Nailor,Minnesota Vikings,0,0,0,4,76,0,0,0,0
2024-10-20,Detroit Lions,Minnesota Vikings,Jordan Addison,Minnesota Vikings,0,0,0,3,66,0,0,0,0
2024-10-20,Detroit Lions,Minnesota Vikings,Johnny Mundt,Minnesota Vikings,0,0,0,4,8,0,0,0,0
2024-10-20,Detroit Lions,Minnesota Vikings,Josh Oliver,Minnesota Vikings,0,0,0,1,5,0,0,0,0
