Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-10-20,Detroit Lions,Minnesota Vikings,1,11:43,Minnesota Vikings,Aaron Jones 34 yard rush (Will Reichard kick),0,7
2024-10-20,Detroit Lions,Minnesota Vikings,1,5:34,Minnesota Vikings,Will Reichard 57 yard field goal,0,10
2024-10-20,Detroit Lions,Minnesota Vikings,2,13:42,Detroit Lions,Jahmyr Gibbs 45 yard rush (Jake Bates kick),7,10
2024-10-20,Detroit Lions,Minnesota Vikings,2,8:39,Detroit Lions,Amon-Ra St. Brown 35 yard pass from Jared Goff (Jake Bates kick),14,10
2024-10-20,Detroit Lions,Minnesota Vikings,2,0:26,Detroit Lions,Jahmyr Gibbs 8 yard rush (Jake Bates kick),21,10
2024-10-20,Detroit Lions,Minnesota Vikings,3,10:42,Minnesota Vikings,Justin Jefferson 25 yard pass from Sam Darnold (Will Reichard kick),21,17
2024-10-20,Detroit Lions,Minnesota Vikings,3,5:43,Detroit Lions,Kalif Raymond 21 yard pass from Jared Goff (Jake Bates kick),28,17
2024-10-20,Detroit Lions,Minnesota Vikings,4,14:24,Minnesota Vikings,Will Reichard 42 yard field goal,28,20
2024-10-20,Detroit Lions,Minnesota Vikings,4,6:04,Minnesota Vikings,Will Reichard 48 yard field goal,28,23
2024-10-20,Detroit Lions,Minnesota Vikings,4,5:50,Minnesota Vikings,Ivan Pace 36 yard fumble return (pass failed),28,29
2024-10-20,Detroit Lions,Minnesota Vikings,4,0:15,Detroit Lions,Jake Bates 44 yard field goal,31,29
