Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-20,Houston Texans,Green Bay Packers,C.J. Stroud,Houston Texans,86,0,0,0,0,0,19,0,0
2024-10-20,Houston Texans,Green Bay Packers,Joe Mixon,Houston Texans,0,0,0,2,9,0,115,2,0
2024-10-20,Houston Texans,Green Bay Packers,Dare Ogunbowale,Houston Texans,0,0,0,0,0,0,6,0,0
2024-10-20,Houston Texans,Green Bay Packers,Dameon Pierce,Houston Texans,0,0,0,0,0,0,2,0,0
2024-10-20,Houston Texans,Green Bay Packers,Dalton Schultz,Houston Texans,0,0,0,1,28,0,0,0,0
2024-10-20,Houston Texans,Green Bay Packers,Stefon Diggs,Houston Texans,0,0,0,5,23,0,0,0,0
2024-10-20,Houston Texans,Green Bay Packers,Cade Stover,Houston Texans,0,0,0,1,15,0,0,0,0
2024-10-20,Houston Texans,Green Bay Packers,Xavier Hutchinson,Houston Texans,0,0,0,1,11,0,0,0,0
2024-10-20,Houston Texans,Green Bay Packers,Tank Dell,Houston Texans,0,0,0,0,0,0,0,0,0
2024-10-20,Houston Texans,Green Bay Packers,Jordan Love,Green Bay Packers,220,3,2,0,0,0,0,0,0
2024-10-20,Houston Texans,Green Bay Packers,Josh Jacobs,Green Bay Packers,0,0,0,5,16,1,76,0,0
2024-10-20,Houston Texans,Green Bay Packers,Emanuel Wilson,Green Bay Packers,0,0,0,0,0,0,11,0,0
2024-10-20,Houston Texans,Green Bay Packers,Romeo Doubs,Green Bay Packers,0,0,0,8,94,0,0,0,0
2024-10-20,Houston Texans,Green Bay Packers,Dontayvion Wicks,Green Bay Packers,0,0,0,3,48,1,0,0,0
2024-10-20,Houston Texans,Green Bay Packers,Tucker Kraft,Green Bay Packers,0,0,0,3,33,1,0,0,0
2024-10-20,Houston Texans,Green Bay Packers,Jayden Reed,Green Bay Packers,0,0,0,2,10,0,0,0,0
2024-10-20,Houston Texans,Green Bay Packers,Ben Sims,Green Bay Packers,0,0,0,1,2,0,0,0,0
2024-10-20,Houston Texans,Green Bay Packers,Bo Melton,Green Bay Packers,0,0,0,1,8,0,-1,0,0
2024-10-20,Houston Texans,Green Bay Packers,Christian Watson,Green Bay Packers,0,0,0,1,9,0,-4,0,0
