Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-20,Kansas City Chiefs,San Francisco 49ers,Patrick Mahomes,Kansas City Chiefs,154,0,2,0,0,0,39,1,0
2024-10-20,Kansas City Chiefs,San Francisco 49ers,Kareem Hunt,Kansas City Chiefs,0,0,0,2,5,0,78,2,0
2024-10-20,Kansas City Chiefs,San Francisco 49ers,Mecole Hardman,Kansas City Chiefs,0,0,0,1,17,0,38,1,0
2024-10-20,Kansas City Chiefs,San Francisco 49ers,Carson Steele,Kansas City Chiefs,0,0,0,0,0,0,17,0,0
2024-10-20,Kansas City Chiefs,San Francisco 49ers,Samaje Perine,Kansas City Chiefs,0,0,0,1,22,0,6,0,0
2024-10-20,Kansas City Chiefs,San Francisco 49ers,Xavier Worthy,Kansas City Chiefs,0,0,0,3,19,0,5,0,0
2024-10-20,Kansas City Chiefs,San Francisco 49ers,Jaden Hicks,Kansas City Chiefs,0,0,0,0,0,0,1,0,0
2024-10-20,Kansas City Chiefs,San Francisco 49ers,Noah Gray,Kansas City Chiefs,0,0,0,4,66,0,0,0,0
2024-10-20,Kansas City Chiefs,San Francisco 49ers,Travis Kelce,Kansas City Chiefs,0,0,0,4,17,0,0,0,0
2024-10-20,Kansas City Chiefs,San Francisco 49ers,Justin Watson,Kansas City Chiefs,0,0,0,1,8,0,0,0,0
2024-10-20,Kansas City Chiefs,San Francisco 49ers,Jody Fortson,Kansas City Chiefs,0,0,0,0,0,0,0,0,0
2024-10-20,Kansas City Chiefs,San Francisco 49ers,Skyy Moore,Kansas City Chiefs,0,0,0,0,0,0,0,0,0
2024-10-20,Kansas City Chiefs,San Francisco 49ers,Brock Purdy,San Francisco 49ers,212,0,3,0,0,0,27,2,0
2024-10-20,Kansas City Chiefs,San Francisco 49ers,Jordan Mason,San Francisco 49ers,0,0,0,2,11,0,58,0,0
2024-10-20,Kansas City Chiefs,San Francisco 49ers,Kyle Juszczyk,San Francisco 49ers,0,0,0,0,0,0,14,0,0
2024-10-20,Kansas City Chiefs,San Francisco 49ers,Isaac Guerendo,San Francisco 49ers,0,0,0,1,5,0,2,0,0
2024-10-20,Kansas City Chiefs,San Francisco 49ers,George Kittle,San Francisco 49ers,0,0,0,6,92,0,0,0,0
2024-10-20,Kansas City Chiefs,San Francisco 49ers,Jacob Cowing,San Francisco 49ers,0,0,0,2,50,0,0,0,0
2024-10-20,Kansas City Chiefs,San Francisco 49ers,Brandon Aiyuk,San Francisco 49ers,0,0,0,2,23,0,0,0,0
2024-10-20,Kansas City Chiefs,San Francisco 49ers,Ricky Pearsall,San Francisco 49ers,0,0,0,3,21,0,0,0,0
2024-10-20,Kansas City Chiefs,San Francisco 49ers,Ronnie Bell,San Francisco 49ers,0,0,0,1,10,0,0,0,0
2024-10-20,Kansas City Chiefs,San Francisco 49ers,Chris Conley,San Francisco 49ers,0,0,0,0,0,0,0,0,0
