Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-20,Las Vegas Raiders,Los Angeles Rams,Gardner Minshew II,Las Vegas Raiders,154,0,3,0,0,0,2,0,1
2024-10-20,Las Vegas Raiders,Los Angeles Rams,Aidan O'Connell,Las Vegas Raiders,52,0,0,0,0,0,0,0,0
2024-10-20,Las Vegas Raiders,Los Angeles Rams,Alexander Mattison,Las Vegas Raiders,0,0,0,3,31,0,92,0,0
2024-10-20,Las Vegas Raiders,Los Angeles Rams,Zamir White,Las Vegas Raiders,0,0,0,1,14,0,13,0,0
2024-10-20,Las Vegas Raiders,Los Angeles Rams,Tre Tucker,Las Vegas Raiders,0,0,0,3,36,0,11,0,0
2024-10-20,Las Vegas Raiders,Los Angeles Rams,DJ Turner,Las Vegas Raiders,0,0,0,2,13,0,4,0,0
2024-10-20,Las Vegas Raiders,Los Angeles Rams,Brock Bowers,Las Vegas Raiders,0,0,0,10,93,0,0,0,0
2024-10-20,Las Vegas Raiders,Los Angeles Rams,Harrison Bryant,Las Vegas Raiders,0,0,0,2,19,0,0,0,0
2024-10-20,Las Vegas Raiders,Los Angeles Rams,Matthew Stafford,Los Angeles Rams,154,0,1,0,0,0,-2,0,0
2024-10-20,Las Vegas Raiders,Los Angeles Rams,Kyren Williams,Los Angeles Rams,0,0,0,0,0,0,76,2,0
2024-10-20,Las Vegas Raiders,Los Angeles Rams,Xavier Smith,Los Angeles Rams,0,0,0,0,0,0,30,0,0
2024-10-20,Las Vegas Raiders,Los Angeles Rams,Blake Corum,Los Angeles Rams,0,0,0,0,0,0,11,0,0
2024-10-20,Las Vegas Raiders,Los Angeles Rams,Tyler Johnson,Los Angeles Rams,0,0,0,4,57,0,0,0,0
2024-10-20,Las Vegas Raiders,Los Angeles Rams,Tutu Atwell,Los Angeles Rams,0,0,0,6,51,0,0,0,0
2024-10-20,Las Vegas Raiders,Los Angeles Rams,Colby Parkinson,Los Angeles Rams,0,0,0,2,32,0,0,0,0
2024-10-20,Las Vegas Raiders,Los Angeles Rams,Demarcus Robinson,Los Angeles Rams,0,0,0,1,9,0,0,0,0
2024-10-20,Las Vegas Raiders,Los Angeles Rams,Hunter Long,Los Angeles Rams,0,0,0,1,5,0,0,0,0
