Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-20,Miami Dolphins,Indianapolis Colts,Tyler Huntley,Miami Dolphins,87,1,0,0,0,0,20,0,0
2024-10-20,Miami Dolphins,Indianapolis Colts,Tim Boyle,Miami Dolphins,74,0,0,0,0,0,4,0,0
2024-10-20,Miami Dolphins,Indianapolis Colts,De'Von Achane,Miami Dolphins,0,0,0,2,8,0,77,0,0
2024-10-20,Miami Dolphins,Indianapolis Colts,Raheem Mostert,Miami Dolphins,0,0,0,0,0,0,50,0,1
2024-10-20,Miami Dolphins,Indianapolis Colts,Jaylen Wright,Miami Dolphins,0,0,0,0,0,0,33,0,0
2024-10-20,Miami Dolphins,Indianapolis Colts,Tyreek Hill,Miami Dolphins,0,0,0,1,8,0,5,0,0
2024-10-20,Miami Dolphins,Indianapolis Colts,Jonnu Smith,Miami Dolphins,0,0,0,7,96,1,0,0,0
2024-10-20,Miami Dolphins,Indianapolis Colts,Jaylen Waddle,Miami Dolphins,0,0,0,1,11,0,0,0,0
2024-10-20,Miami Dolphins,Indianapolis Colts,Malik Washington,Miami Dolphins,0,0,0,2,9,0,0,0,0
2024-10-20,Miami Dolphins,Indianapolis Colts,Julian Hill,Miami Dolphins,0,0,0,1,4,0,0,0,0
2024-10-20,Miami Dolphins,Indianapolis Colts,Odell Beckham Jr.,Miami Dolphins,0,0,0,0,0,0,0,0,0
2024-10-20,Miami Dolphins,Indianapolis Colts,Alec Ingold,Miami Dolphins,0,0,0,1,25,0,-1,0,1
2024-10-20,Miami Dolphins,Indianapolis Colts,Anthony Richardson,Indianapolis Colts,129,0,0,0,0,0,56,0,1
2024-10-20,Miami Dolphins,Indianapolis Colts,Tyler Goodson,Indianapolis Colts,0,0,0,0,0,0,51,1,0
2024-10-20,Miami Dolphins,Indianapolis Colts,Trey Sermon,Indianapolis Colts,0,0,0,1,13,0,36,0,0
2024-10-20,Miami Dolphins,Indianapolis Colts,Ashton Dulin,Indianapolis Colts,0,0,0,0,0,0,12,0,0
2024-10-20,Miami Dolphins,Indianapolis Colts,Michael Pittman Jr.,Indianapolis Colts,0,0,0,3,63,0,0,0,0
2024-10-20,Miami Dolphins,Indianapolis Colts,Adonai Mitchell,Indianapolis Colts,0,0,0,2,30,0,0,0,0
2024-10-20,Miami Dolphins,Indianapolis Colts,Alec Pierce,Indianapolis Colts,0,0,0,2,15,0,0,0,0
2024-10-20,Miami Dolphins,Indianapolis Colts,Will Mallory,Indianapolis Colts,0,0,0,1,5,0,0,0,0
2024-10-20,Miami Dolphins,Indianapolis Colts,Josh Downs,Indianapolis Colts,0,0,0,1,3,0,0,0,0
2024-10-20,Miami Dolphins,Indianapolis Colts,Andrew Ogletree,Indianapolis Colts,0,0,0,0,0,0,0,0,0
2024-10-20,Miami Dolphins,Indianapolis Colts,Kylen Granson,Indianapolis Colts,0,0,0,0,0,0,0,0,0
2024-10-20,Miami Dolphins,Indianapolis Colts,Mo Alie-Cox,Indianapolis Colts,0,0,0,0,0,0,0,0,0
