Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-20,New England Patriots,Jacksonville Jaguars,Drake Maye,New England Patriots,276,2,0,0,0,0,18,0,0
2024-10-20,New England Patriots,Jacksonville Jaguars,Rhamondre Stevenson,New England Patriots,0,0,0,2,7,0,18,0,0
2024-10-20,New England Patriots,Jacksonville Jaguars,Antonio Gibson,New England Patriots,0,0,0,1,9,0,4,0,0
2024-10-20,New England Patriots,Jacksonville Jaguars,Hunter Henry,New England Patriots,0,0,0,8,92,0,0,0,0
2024-10-20,New England Patriots,Jacksonville Jaguars,Kayshon Boutte,New England Patriots,0,0,0,1,33,0,0,0,0
2024-10-20,New England Patriots,Jacksonville Jaguars,Austin Hooper,New England Patriots,0,0,0,4,32,0,0,0,0
2024-10-20,New England Patriots,Jacksonville Jaguars,K.J. Osborn,New England Patriots,0,0,0,2,26,1,0,0,0
2024-10-20,New England Patriots,Jacksonville Jaguars,Kendrick Bourne,New England Patriots,0,0,0,1,14,0,0,0,0
2024-10-20,New England Patriots,Jacksonville Jaguars,Demario Douglas,New England Patriots,0,0,0,2,14,0,0,0,0
2024-10-20,New England Patriots,Jacksonville Jaguars,Ja'Lynn Polk,New England Patriots,0,0,0,0,0,0,0,0,0
2024-10-20,New England Patriots,Jacksonville Jaguars,Jamycal Hasty,New England Patriots,0,0,0,5,49,1,-2,0,0
2024-10-20,New England Patriots,Jacksonville Jaguars,Trevor Lawrence,Jacksonville Jaguars,193,1,0,0,0,0,13,0,0
2024-10-20,New England Patriots,Jacksonville Jaguars,Tank Bigsby,Jacksonville Jaguars,0,0,0,0,0,0,118,2,0
2024-10-20,New England Patriots,Jacksonville Jaguars,D'Ernest Johnson,Jacksonville Jaguars,0,0,0,3,32,0,38,0,0
2024-10-20,New England Patriots,Jacksonville Jaguars,Brian Thomas,Jacksonville Jaguars,0,0,0,5,89,1,2,0,0
2024-10-20,New England Patriots,Jacksonville Jaguars,Evan Engram,Jacksonville Jaguars,0,0,0,5,35,0,0,0,0
2024-10-20,New England Patriots,Jacksonville Jaguars,Christian Kirk,Jacksonville Jaguars,0,0,0,1,24,0,0,0,0
2024-10-20,New England Patriots,Jacksonville Jaguars,Gabriel Davis,Jacksonville Jaguars,0,0,0,1,13,0,0,0,0
